Cell,Louvain_Stage,Annotation
cell_44804,0,Visceral Endoderm
cell_44805,2,ant Neuroectoderm
cell_44806,1,Trophectoderm
cell_44807,6,Visceral Endoderm
cell_44808,3,ant Epiblast
cell_44809,3,ant Epiblast
cell_44810,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44811,8,Hemogenic
cell_44812,0,Visceral Endoderm
cell_44814,1,Trophectoderm
cell_44815,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44816,2,ant Neuroectoderm
cell_44817,1,Trophectoderm
cell_44819,8,Hemogenic
cell_44820,3,ant Epiblast
cell_44821,7,Extraembryonic mesoderm
cell_44823,8,Hemogenic
cell_44824,1,Trophectoderm
cell_44825,10,Caudal Epiblast
cell_44826,3,ant Epiblast
cell_44827,2,ant Neuroectoderm
cell_44828,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44829,7,Extraembryonic mesoderm
cell_44830,7,Extraembryonic mesoderm
cell_44831,2,ant Neuroectoderm
cell_44832,1,Trophectoderm
cell_44833,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44834,1,Trophectoderm
cell_44835,4,Primitive Streak
cell_44836,6,Visceral Endoderm
cell_44837,4,Primitive Streak
cell_44838,0,Visceral Endoderm
cell_44840,9,Definitive Endoderm
cell_44841,0,Visceral Endoderm
cell_44842,8,Hemogenic
cell_44843,0,Visceral Endoderm
cell_44844,6,Visceral Endoderm
cell_44845,7,Extraembryonic mesoderm
cell_44846,2,ant Neuroectoderm
cell_44847,2,ant Neuroectoderm
cell_44848,3,ant Epiblast
cell_44849,13,Primitive Streak
cell_44850,9,Definitive Endoderm
cell_44851,1,Trophectoderm
cell_44852,8,Hemogenic
cell_44853,13,Primitive Streak
cell_44854,13,Primitive Streak
cell_44855,3,ant Epiblast
cell_44856,8,Hemogenic
cell_44857,0,Visceral Endoderm
cell_44858,3,ant Epiblast
cell_44859,1,Trophectoderm
cell_44860,0,Visceral Endoderm
cell_44861,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44862,2,ant Neuroectoderm
cell_44863,7,Extraembryonic mesoderm
cell_44864,7,Extraembryonic mesoderm
cell_44866,0,Visceral Endoderm
cell_44867,3,ant Epiblast
cell_44868,9,Definitive Endoderm
cell_44869,0,Visceral Endoderm
cell_44870,0,Visceral Endoderm
cell_44871,8,Hemogenic
cell_44872,8,Hemogenic
cell_44873,9,Definitive Endoderm
cell_44874,2,ant Neuroectoderm
cell_44875,9,Definitive Endoderm
cell_44876,10,Caudal Epiblast
cell_44877,2,ant Neuroectoderm
cell_44878,7,Extraembryonic mesoderm
cell_44879,2,ant Neuroectoderm
cell_44880,8,Hemogenic
cell_44882,1,Trophectoderm
cell_44883,0,Visceral Endoderm
cell_44884,4,Primitive Streak
cell_44885,0,Visceral Endoderm
cell_44886,0,Visceral Endoderm
cell_44888,6,Visceral Endoderm
cell_44890,12,CardioPahayngeal progenitor
cell_44891,10,Caudal Epiblast
cell_44892,2,ant Neuroectoderm
cell_44893,3,ant Epiblast
cell_44894,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44895,2,ant Neuroectoderm
cell_44896,0,Visceral Endoderm
cell_44897,4,Primitive Streak
cell_44898,8,Hemogenic
cell_44899,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44900,1,Trophectoderm
cell_44901,6,Visceral Endoderm
cell_44902,0,Visceral Endoderm
cell_44904,12,CardioPahayngeal progenitor
cell_44905,6,Visceral Endoderm
cell_44906,10,Caudal Epiblast
cell_44907,0,Visceral Endoderm
cell_44908,2,ant Neuroectoderm
cell_44909,3,ant Epiblast
cell_44910,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44911,1,Trophectoderm
cell_44912,7,Extraembryonic mesoderm
cell_44913,3,ant Epiblast
cell_44914,4,Primitive Streak
cell_44915,3,ant Epiblast
cell_44916,0,Visceral Endoderm
cell_44917,8,Hemogenic
cell_44918,4,Primitive Streak
cell_44920,4,Primitive Streak
cell_44921,4,Primitive Streak
cell_44922,12,CardioPahayngeal progenitor
cell_44923,2,ant Neuroectoderm
cell_44924,11,* Visceral Endoderm
cell_44925,11,* Visceral Endoderm
cell_44926,9,Definitive Endoderm
cell_44927,2,ant Neuroectoderm
cell_44929,10,Caudal Epiblast
cell_44930,3,ant Epiblast
cell_44931,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44932,8,Hemogenic
cell_44933,8,Hemogenic
cell_44934,1,Trophectoderm
cell_44935,1,Trophectoderm
cell_44936,2,ant Neuroectoderm
cell_44937,2,ant Neuroectoderm
cell_44938,7,Extraembryonic mesoderm
cell_44939,1,Trophectoderm
cell_44941,4,Primitive Streak
cell_44942,0,Visceral Endoderm
cell_44943,12,CardioPahayngeal progenitor
cell_44944,1,Trophectoderm
cell_44945,8,Hemogenic
cell_44946,13,Primitive Streak
cell_44947,2,ant Neuroectoderm
cell_44948,4,Primitive Streak
cell_44949,2,ant Neuroectoderm
cell_44950,1,Trophectoderm
cell_44951,1,Trophectoderm
cell_44952,0,Visceral Endoderm
cell_44953,2,ant Neuroectoderm
cell_44954,11,* Visceral Endoderm
cell_44955,2,ant Neuroectoderm
cell_44957,0,Visceral Endoderm
cell_44958,7,Extraembryonic mesoderm
cell_44959,3,ant Epiblast
cell_44960,8,Hemogenic
cell_44961,6,Visceral Endoderm
cell_44962,1,Trophectoderm
cell_44963,3,ant Epiblast
cell_44964,10,Caudal Epiblast
cell_44965,8,Hemogenic
cell_44967,6,Visceral Endoderm
cell_44968,2,ant Neuroectoderm
cell_44969,3,ant Epiblast
cell_44970,4,Primitive Streak
cell_44972,3,ant Epiblast
cell_44973,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44975,3,ant Epiblast
cell_44977,4,Primitive Streak
cell_44979,10,Caudal Epiblast
cell_44981,3,ant Epiblast
cell_44982,4,Primitive Streak
cell_44984,1,Trophectoderm
cell_44985,7,Extraembryonic mesoderm
cell_44986,3,ant Epiblast
cell_44988,2,ant Neuroectoderm
cell_44990,13,Primitive Streak
cell_44991,10,Caudal Epiblast
cell_44992,13,Primitive Streak
cell_44993,10,Caudal Epiblast
cell_44994,5,post Primitive Streak; early Extra embryonic mesoderm
cell_44995,0,Visceral Endoderm
cell_44996,1,Trophectoderm
cell_44997,4,Primitive Streak
cell_44998,3,ant Epiblast
cell_44999,8,Hemogenic
cell_45000,1,Trophectoderm
cell_45001,10,Caudal Epiblast
cell_45002,12,CardioPahayngeal progenitor
cell_45003,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45004,1,Trophectoderm
cell_45005,3,ant Epiblast
cell_45007,0,Visceral Endoderm
cell_45010,1,Trophectoderm
cell_45011,0,Visceral Endoderm
cell_45012,10,Caudal Epiblast
cell_45013,0,Visceral Endoderm
cell_45014,12,CardioPahayngeal progenitor
cell_45015,4,Primitive Streak
cell_45016,1,Trophectoderm
cell_45018,7,Extraembryonic mesoderm
cell_45019,12,CardioPahayngeal progenitor
cell_45021,0,Visceral Endoderm
cell_45022,3,ant Epiblast
cell_45023,3,ant Epiblast
cell_45024,0,Visceral Endoderm
cell_45025,8,Hemogenic
cell_45026,2,ant Neuroectoderm
cell_45027,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45028,8,Hemogenic
cell_45029,1,Trophectoderm
cell_45030,13,Primitive Streak
cell_45031,12,CardioPahayngeal progenitor
cell_45032,2,ant Neuroectoderm
cell_45033,8,Hemogenic
cell_45035,3,ant Epiblast
cell_45036,6,Visceral Endoderm
cell_45037,7,Extraembryonic mesoderm
cell_45038,1,Trophectoderm
cell_45039,3,ant Epiblast
cell_45040,3,ant Epiblast
cell_45041,10,Caudal Epiblast
cell_45042,0,Visceral Endoderm
cell_45043,9,Definitive Endoderm
cell_45044,0,Visceral Endoderm
cell_45045,4,Primitive Streak
cell_45046,1,Trophectoderm
cell_45047,0,Visceral Endoderm
cell_45048,1,Trophectoderm
cell_45049,2,ant Neuroectoderm
cell_45050,1,Trophectoderm
cell_45051,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45052,3,ant Epiblast
cell_45053,10,Caudal Epiblast
cell_45054,1,Trophectoderm
cell_45057,0,Visceral Endoderm
cell_45058,13,Primitive Streak
cell_45059,0,Visceral Endoderm
cell_45060,9,Definitive Endoderm
cell_45061,9,Definitive Endoderm
cell_45062,1,Trophectoderm
cell_45063,3,ant Epiblast
cell_45064,0,Visceral Endoderm
cell_45065,4,Primitive Streak
cell_45066,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45067,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45068,1,Trophectoderm
cell_45069,13,Primitive Streak
cell_45070,0,Visceral Endoderm
cell_45071,11,* Visceral Endoderm
cell_45072,13,Primitive Streak
cell_45073,12,CardioPahayngeal progenitor
cell_45074,11,* Visceral Endoderm
cell_45075,0,Visceral Endoderm
cell_45077,13,Primitive Streak
cell_45078,11,* Visceral Endoderm
cell_45079,4,Primitive Streak
cell_45080,3,ant Epiblast
cell_45081,2,ant Neuroectoderm
cell_45082,10,Caudal Epiblast
cell_45083,1,Trophectoderm
cell_45084,1,Trophectoderm
cell_45085,1,Trophectoderm
cell_45086,8,Hemogenic
cell_45087,8,Hemogenic
cell_45088,0,Visceral Endoderm
cell_45089,3,ant Epiblast
cell_45090,2,ant Neuroectoderm
cell_45091,9,Definitive Endoderm
cell_45092,10,Caudal Epiblast
cell_45093,3,ant Epiblast
cell_45094,3,ant Epiblast
cell_45095,11,* Visceral Endoderm
cell_45096,0,Visceral Endoderm
cell_45097,4,Primitive Streak
cell_45099,11,* Visceral Endoderm
cell_45100,9,Definitive Endoderm
cell_45101,6,Visceral Endoderm
cell_45102,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45103,10,Caudal Epiblast
cell_45104,0,Visceral Endoderm
cell_45105,1,Trophectoderm
cell_45106,6,Visceral Endoderm
cell_45107,1,Trophectoderm
cell_45108,3,ant Epiblast
cell_45109,2,ant Neuroectoderm
cell_45111,13,Primitive Streak
cell_45112,7,Extraembryonic mesoderm
cell_45113,7,Extraembryonic mesoderm
cell_45114,2,ant Neuroectoderm
cell_45115,8,Hemogenic
cell_45116,13,Primitive Streak
cell_45117,1,Trophectoderm
cell_45118,1,Trophectoderm
cell_45119,2,ant Neuroectoderm
cell_45120,2,ant Neuroectoderm
cell_45121,10,Caudal Epiblast
cell_45122,0,Visceral Endoderm
cell_45123,10,Caudal Epiblast
cell_45124,2,ant Neuroectoderm
cell_45125,3,ant Epiblast
cell_45126,4,Primitive Streak
cell_45127,7,Extraembryonic mesoderm
cell_45128,11,* Visceral Endoderm
cell_45129,3,ant Epiblast
cell_45130,13,Primitive Streak
cell_45131,12,CardioPahayngeal progenitor
cell_45132,8,Hemogenic
cell_45133,4,Primitive Streak
cell_45134,2,ant Neuroectoderm
cell_45135,9,Definitive Endoderm
cell_45136,9,Definitive Endoderm
cell_45137,3,ant Epiblast
cell_45138,3,ant Epiblast
cell_45139,8,Hemogenic
cell_45141,4,Primitive Streak
cell_45142,8,Hemogenic
cell_45143,3,ant Epiblast
cell_45145,3,ant Epiblast
cell_45146,3,ant Epiblast
cell_45147,7,Extraembryonic mesoderm
cell_45148,4,Primitive Streak
cell_45149,12,CardioPahayngeal progenitor
cell_45150,2,ant Neuroectoderm
cell_45151,7,Extraembryonic mesoderm
cell_45153,7,Extraembryonic mesoderm
cell_45155,8,Hemogenic
cell_45156,10,Caudal Epiblast
cell_45157,2,ant Neuroectoderm
cell_45158,0,Visceral Endoderm
cell_45159,3,ant Epiblast
cell_45161,7,Extraembryonic mesoderm
cell_45162,3,ant Epiblast
cell_45163,6,Visceral Endoderm
cell_45164,6,Visceral Endoderm
cell_45165,2,ant Neuroectoderm
cell_45166,13,Primitive Streak
cell_45167,8,Hemogenic
cell_45168,13,Primitive Streak
cell_45169,6,Visceral Endoderm
cell_45170,4,Primitive Streak
cell_45171,0,Visceral Endoderm
cell_45172,0,Visceral Endoderm
cell_45173,2,ant Neuroectoderm
cell_45176,11,* Visceral Endoderm
cell_45177,6,Visceral Endoderm
cell_45178,6,Visceral Endoderm
cell_45179,9,Definitive Endoderm
cell_45180,13,Primitive Streak
cell_45181,4,Primitive Streak
cell_45182,8,Hemogenic
cell_45183,7,Extraembryonic mesoderm
cell_45184,12,CardioPahayngeal progenitor
cell_45185,2,ant Neuroectoderm
cell_45186,8,Hemogenic
cell_45187,6,Visceral Endoderm
cell_45188,2,ant Neuroectoderm
cell_45189,2,ant Neuroectoderm
cell_45190,1,Trophectoderm
cell_45191,7,Extraembryonic mesoderm
cell_45192,2,ant Neuroectoderm
cell_45193,2,ant Neuroectoderm
cell_45194,1,Trophectoderm
cell_45195,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45196,0,Visceral Endoderm
cell_45197,2,ant Neuroectoderm
cell_45199,13,Primitive Streak
cell_45200,8,Hemogenic
cell_45201,9,Definitive Endoderm
cell_45203,0,Visceral Endoderm
cell_45204,2,ant Neuroectoderm
cell_45206,4,Primitive Streak
cell_45208,9,Definitive Endoderm
cell_45210,8,Hemogenic
cell_45211,7,Extraembryonic mesoderm
cell_45212,2,ant Neuroectoderm
cell_45213,10,Caudal Epiblast
cell_45214,2,ant Neuroectoderm
cell_45215,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45216,14,Hemogenic
cell_45217,3,ant Epiblast
cell_45219,0,Visceral Endoderm
cell_45220,3,ant Epiblast
cell_45222,6,Visceral Endoderm
cell_45223,9,Definitive Endoderm
cell_45224,4,Primitive Streak
cell_45225,2,ant Neuroectoderm
cell_45226,2,ant Neuroectoderm
cell_45227,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45228,9,Definitive Endoderm
cell_45230,0,Visceral Endoderm
cell_45231,0,Visceral Endoderm
cell_45232,13,Primitive Streak
cell_45233,1,Trophectoderm
cell_45234,1,Trophectoderm
cell_45235,14,Hemogenic
cell_45236,13,Primitive Streak
cell_45237,2,ant Neuroectoderm
cell_45238,9,Definitive Endoderm
cell_45239,0,Visceral Endoderm
cell_45242,1,Trophectoderm
cell_45244,2,ant Neuroectoderm
cell_45245,9,Definitive Endoderm
cell_45246,6,Visceral Endoderm
cell_45247,8,Hemogenic
cell_45250,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45251,8,Hemogenic
cell_45252,8,Hemogenic
cell_45255,2,ant Neuroectoderm
cell_45256,0,Visceral Endoderm
cell_45257,2,ant Neuroectoderm
cell_45258,4,Primitive Streak
cell_45259,2,ant Neuroectoderm
cell_45260,10,Caudal Epiblast
cell_45261,3,ant Epiblast
cell_45262,1,Trophectoderm
cell_45263,0,Visceral Endoderm
cell_45264,10,Caudal Epiblast
cell_45265,3,ant Epiblast
cell_45266,4,Primitive Streak
cell_45267,12,CardioPahayngeal progenitor
cell_45268,2,ant Neuroectoderm
cell_45269,3,ant Epiblast
cell_45270,3,ant Epiblast
cell_45271,4,Primitive Streak
cell_45272,3,ant Epiblast
cell_45273,11,* Visceral Endoderm
cell_45274,7,Extraembryonic mesoderm
cell_45275,8,Hemogenic
cell_45277,2,ant Neuroectoderm
cell_45278,2,ant Neuroectoderm
cell_45279,2,ant Neuroectoderm
cell_45281,2,ant Neuroectoderm
cell_45282,3,ant Epiblast
cell_45283,2,ant Neuroectoderm
cell_45285,1,Trophectoderm
cell_45286,4,Primitive Streak
cell_45287,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45288,13,Primitive Streak
cell_45289,3,ant Epiblast
cell_45290,4,Primitive Streak
cell_45291,3,ant Epiblast
cell_45292,6,Visceral Endoderm
cell_45293,0,Visceral Endoderm
cell_45294,10,Caudal Epiblast
cell_45295,2,ant Neuroectoderm
cell_45296,1,Trophectoderm
cell_45297,11,* Visceral Endoderm
cell_45298,3,ant Epiblast
cell_45299,2,ant Neuroectoderm
cell_45300,6,Visceral Endoderm
cell_45301,2,ant Neuroectoderm
cell_45303,9,Definitive Endoderm
cell_45304,0,Visceral Endoderm
cell_45305,6,Visceral Endoderm
cell_45306,2,ant Neuroectoderm
cell_45308,3,ant Epiblast
cell_45309,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45310,0,Visceral Endoderm
cell_45311,1,Trophectoderm
cell_45312,0,Visceral Endoderm
cell_45313,8,Hemogenic
cell_45314,7,Extraembryonic mesoderm
cell_45315,6,Visceral Endoderm
cell_45316,0,Visceral Endoderm
cell_45317,3,ant Epiblast
cell_45318,4,Primitive Streak
cell_45319,2,ant Neuroectoderm
cell_45320,10,Caudal Epiblast
cell_45322,7,Extraembryonic mesoderm
cell_45323,4,Primitive Streak
cell_45324,7,Extraembryonic mesoderm
cell_45325,3,ant Epiblast
cell_45327,3,ant Epiblast
cell_45328,0,Visceral Endoderm
cell_45329,1,Trophectoderm
cell_45330,13,Primitive Streak
cell_45331,2,ant Neuroectoderm
cell_45332,-1,
cell_45333,8,Hemogenic
cell_45334,4,Primitive Streak
cell_45335,0,Visceral Endoderm
cell_45336,1,Trophectoderm
cell_45337,12,CardioPahayngeal progenitor
cell_45338,9,Definitive Endoderm
cell_45339,0,Visceral Endoderm
cell_45341,0,Visceral Endoderm
cell_45342,4,Primitive Streak
cell_45343,2,ant Neuroectoderm
cell_45344,1,Trophectoderm
cell_45345,2,ant Neuroectoderm
cell_45346,4,Primitive Streak
cell_45348,1,Trophectoderm
cell_45349,10,Caudal Epiblast
cell_45351,0,Visceral Endoderm
cell_45353,1,Trophectoderm
cell_45354,7,Extraembryonic mesoderm
cell_45355,9,Definitive Endoderm
cell_45357,11,* Visceral Endoderm
cell_45358,8,Hemogenic
cell_45359,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45360,0,Visceral Endoderm
cell_45361,9,Definitive Endoderm
cell_45362,4,Primitive Streak
cell_45363,3,ant Epiblast
cell_45364,3,ant Epiblast
cell_45365,1,Trophectoderm
cell_45366,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45369,1,Trophectoderm
cell_45370,12,CardioPahayngeal progenitor
cell_45371,10,Caudal Epiblast
cell_45372,3,ant Epiblast
cell_45373,7,Extraembryonic mesoderm
cell_45374,2,ant Neuroectoderm
cell_45375,3,ant Epiblast
cell_45376,3,ant Epiblast
cell_45377,8,Hemogenic
cell_45378,6,Visceral Endoderm
cell_45380,10,Caudal Epiblast
cell_45382,8,Hemogenic
cell_45383,-1,
cell_45384,3,ant Epiblast
cell_45385,0,Visceral Endoderm
cell_45386,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45387,9,Definitive Endoderm
cell_45388,10,Caudal Epiblast
cell_45389,0,Visceral Endoderm
cell_45390,0,Visceral Endoderm
cell_45391,4,Primitive Streak
cell_45392,9,Definitive Endoderm
cell_45394,6,Visceral Endoderm
cell_45395,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45397,7,Extraembryonic mesoderm
cell_45398,13,Primitive Streak
cell_45399,7,Extraembryonic mesoderm
cell_45401,0,Visceral Endoderm
cell_45402,4,Primitive Streak
cell_45403,2,ant Neuroectoderm
cell_45404,1,Trophectoderm
cell_45405,10,Caudal Epiblast
cell_45406,8,Hemogenic
cell_45407,1,Trophectoderm
cell_45408,3,ant Epiblast
cell_45409,6,Visceral Endoderm
cell_45410,0,Visceral Endoderm
cell_45411,1,Trophectoderm
cell_45412,12,CardioPahayngeal progenitor
cell_45414,0,Visceral Endoderm
cell_45415,10,Caudal Epiblast
cell_45416,13,Primitive Streak
cell_45418,8,Hemogenic
cell_45419,2,ant Neuroectoderm
cell_45420,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45421,9,Definitive Endoderm
cell_45422,1,Trophectoderm
cell_45423,8,Hemogenic
cell_45424,8,Hemogenic
cell_45425,1,Trophectoderm
cell_45426,4,Primitive Streak
cell_45427,4,Primitive Streak
cell_45429,2,ant Neuroectoderm
cell_45430,13,Primitive Streak
cell_45432,2,ant Neuroectoderm
cell_45434,3,ant Epiblast
cell_45435,8,Hemogenic
cell_45436,1,Trophectoderm
cell_45437,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45438,2,ant Neuroectoderm
cell_45439,2,ant Neuroectoderm
cell_45440,4,Primitive Streak
cell_45441,4,Primitive Streak
cell_45442,3,ant Epiblast
cell_45443,0,Visceral Endoderm
cell_45444,2,ant Neuroectoderm
cell_45445,0,Visceral Endoderm
cell_45446,2,ant Neuroectoderm
cell_45447,0,Visceral Endoderm
cell_45448,9,Definitive Endoderm
cell_45449,2,ant Neuroectoderm
cell_45450,3,ant Epiblast
cell_45451,10,Caudal Epiblast
cell_45452,2,ant Neuroectoderm
cell_45455,6,Visceral Endoderm
cell_45456,7,Extraembryonic mesoderm
cell_45457,3,ant Epiblast
cell_45458,1,Trophectoderm
cell_45459,0,Visceral Endoderm
cell_45461,2,ant Neuroectoderm
cell_45462,1,Trophectoderm
cell_45463,3,ant Epiblast
cell_45464,7,Extraembryonic mesoderm
cell_45466,6,Visceral Endoderm
cell_45467,6,Visceral Endoderm
cell_45468,4,Primitive Streak
cell_45469,7,Extraembryonic mesoderm
cell_45470,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45471,0,Visceral Endoderm
cell_45474,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45475,1,Trophectoderm
cell_45476,6,Visceral Endoderm
cell_45477,1,Trophectoderm
cell_45478,0,Visceral Endoderm
cell_45479,0,Visceral Endoderm
cell_45480,3,ant Epiblast
cell_45482,12,CardioPahayngeal progenitor
cell_45483,8,Hemogenic
cell_45484,0,Visceral Endoderm
cell_45485,12,CardioPahayngeal progenitor
cell_45486,3,ant Epiblast
cell_45487,2,ant Neuroectoderm
cell_45488,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45489,0,Visceral Endoderm
cell_45490,0,Visceral Endoderm
cell_45491,6,Visceral Endoderm
cell_45492,3,ant Epiblast
cell_45494,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45495,10,Caudal Epiblast
cell_45496,8,Hemogenic
cell_45497,4,Primitive Streak
cell_45498,1,Trophectoderm
cell_45499,0,Visceral Endoderm
cell_45500,0,Visceral Endoderm
cell_45501,3,ant Epiblast
cell_45502,11,* Visceral Endoderm
cell_45503,3,ant Epiblast
cell_45504,13,Primitive Streak
cell_45505,4,Primitive Streak
cell_45506,1,Trophectoderm
cell_45507,4,Primitive Streak
cell_45509,7,Extraembryonic mesoderm
cell_45510,1,Trophectoderm
cell_45512,8,Hemogenic
cell_45513,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45514,10,Caudal Epiblast
cell_45515,7,Extraembryonic mesoderm
cell_45516,6,Visceral Endoderm
cell_45517,0,Visceral Endoderm
cell_45518,13,Primitive Streak
cell_45519,4,Primitive Streak
cell_45520,13,Primitive Streak
cell_45522,11,* Visceral Endoderm
cell_45526,3,ant Epiblast
cell_45527,4,Primitive Streak
cell_45528,7,Extraembryonic mesoderm
cell_45529,1,Trophectoderm
cell_45530,7,Extraembryonic mesoderm
cell_45531,13,Primitive Streak
cell_45532,4,Primitive Streak
cell_45533,1,Trophectoderm
cell_45534,6,Visceral Endoderm
cell_45535,2,ant Neuroectoderm
cell_45536,2,ant Neuroectoderm
cell_45537,3,ant Epiblast
cell_45538,2,ant Neuroectoderm
cell_45539,6,Visceral Endoderm
cell_45541,6,Visceral Endoderm
cell_45542,0,Visceral Endoderm
cell_45543,12,CardioPahayngeal progenitor
cell_45545,7,Extraembryonic mesoderm
cell_45546,10,Caudal Epiblast
cell_45548,2,ant Neuroectoderm
cell_45549,8,Hemogenic
cell_45550,4,Primitive Streak
cell_45551,3,ant Epiblast
cell_45552,0,Visceral Endoderm
cell_45553,0,Visceral Endoderm
cell_45554,0,Visceral Endoderm
cell_45555,1,Trophectoderm
cell_45557,9,Definitive Endoderm
cell_45558,2,ant Neuroectoderm
cell_45560,11,* Visceral Endoderm
cell_45561,8,Hemogenic
cell_45562,4,Primitive Streak
cell_45565,12,CardioPahayngeal progenitor
cell_45566,1,Trophectoderm
cell_45567,12,CardioPahayngeal progenitor
cell_45568,0,Visceral Endoderm
cell_45569,0,Visceral Endoderm
cell_45570,4,Primitive Streak
cell_45571,1,Trophectoderm
cell_45573,0,Visceral Endoderm
cell_45574,12,CardioPahayngeal progenitor
cell_45575,11,* Visceral Endoderm
cell_45576,1,Trophectoderm
cell_45577,4,Primitive Streak
cell_45578,4,Primitive Streak
cell_45579,2,ant Neuroectoderm
cell_45580,0,Visceral Endoderm
cell_45581,0,Visceral Endoderm
cell_45582,7,Extraembryonic mesoderm
cell_45584,3,ant Epiblast
cell_45585,8,Hemogenic
cell_45586,1,Trophectoderm
cell_45588,7,Extraembryonic mesoderm
cell_45589,6,Visceral Endoderm
cell_45590,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45591,3,ant Epiblast
cell_45593,7,Extraembryonic mesoderm
cell_45594,8,Hemogenic
cell_45595,4,Primitive Streak
cell_45597,2,ant Neuroectoderm
cell_45599,13,Primitive Streak
cell_45600,6,Visceral Endoderm
cell_45601,4,Primitive Streak
cell_45602,3,ant Epiblast
cell_45603,6,Visceral Endoderm
cell_45604,2,ant Neuroectoderm
cell_45605,8,Hemogenic
cell_45606,0,Visceral Endoderm
cell_45607,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45608,3,ant Epiblast
cell_45609,9,Definitive Endoderm
cell_45610,0,Visceral Endoderm
cell_45611,4,Primitive Streak
cell_45612,0,Visceral Endoderm
cell_45613,2,ant Neuroectoderm
cell_45614,8,Hemogenic
cell_45615,9,Definitive Endoderm
cell_45616,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45617,8,Hemogenic
cell_45618,0,Visceral Endoderm
cell_45619,11,* Visceral Endoderm
cell_45620,10,Caudal Epiblast
cell_45621,2,ant Neuroectoderm
cell_45622,7,Extraembryonic mesoderm
cell_45623,3,ant Epiblast
cell_45624,4,Primitive Streak
cell_45625,12,CardioPahayngeal progenitor
cell_45626,3,ant Epiblast
cell_45627,10,Caudal Epiblast
cell_45628,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45630,0,Visceral Endoderm
cell_45631,6,Visceral Endoderm
cell_45632,1,Trophectoderm
cell_45633,13,Primitive Streak
cell_45634,13,Primitive Streak
cell_45635,4,Primitive Streak
cell_45636,0,Visceral Endoderm
cell_45637,0,Visceral Endoderm
cell_45638,8,Hemogenic
cell_45639,7,Extraembryonic mesoderm
cell_45640,6,Visceral Endoderm
cell_45641,2,ant Neuroectoderm
cell_45643,11,* Visceral Endoderm
cell_45644,0,Visceral Endoderm
cell_45645,1,Trophectoderm
cell_45646,7,Extraembryonic mesoderm
cell_45647,1,Trophectoderm
cell_45648,0,Visceral Endoderm
cell_45649,8,Hemogenic
cell_45650,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45651,6,Visceral Endoderm
cell_45654,0,Visceral Endoderm
cell_45655,3,ant Epiblast
cell_45656,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45657,1,Trophectoderm
cell_45658,2,ant Neuroectoderm
cell_45659,3,ant Epiblast
cell_45660,2,ant Neuroectoderm
cell_45661,0,Visceral Endoderm
cell_45662,6,Visceral Endoderm
cell_45663,9,Definitive Endoderm
cell_45664,2,ant Neuroectoderm
cell_45665,4,Primitive Streak
cell_45668,13,Primitive Streak
cell_45669,6,Visceral Endoderm
cell_45670,2,ant Neuroectoderm
cell_45671,11,* Visceral Endoderm
cell_45672,5,post Primitive Streak; early Extra embryonic mesoderm
cell_45673,3,ant Epiblast
cell_45674,0,Visceral Endoderm
cell_45675,1,Trophectoderm
cell_45676,7,Extraembryonic mesoderm
cell_45677,1,Trophectoderm
cell_45678,3,ant Epiblast
cell_45679,3,ant Epiblast
cell_45680,2,ant Neuroectoderm
cell_45681,8,Hemogenic
cell_45682,0,Visceral Endoderm
cell_45683,4,Primitive Streak
