Cell,Louvain_Stage,Annotation
cell_257,3,Epiblast*
cell_258,3,Epiblast*
cell_259,0,Posterior Epiblast
cell_260,5,Visceral Endoderm
cell_263,0,Posterior Epiblast
cell_264,1,Anterior Epiblast
cell_265,5,Visceral Endoderm
cell_266,2,Trophectoderm
cell_267,3,Epiblast*
cell_269,5,Visceral Endoderm
cell_270,4,Epiblast*
cell_271,1,Anterior Epiblast
cell_272,5,Visceral Endoderm
cell_273,1,Anterior Epiblast
cell_274,1,Anterior Epiblast
cell_276,0,Posterior Epiblast
cell_277,1,Anterior Epiblast
cell_278,1,Anterior Epiblast
cell_279,0,Posterior Epiblast
cell_280,3,Epiblast*
cell_281,1,Anterior Epiblast
cell_282,4,Epiblast*
cell_283,1,Anterior Epiblast
cell_284,5,Visceral Endoderm
cell_285,1,Anterior Epiblast
cell_289,4,Epiblast*
cell_290,1,Anterior Epiblast
cell_291,2,Trophectoderm
cell_292,0,Posterior Epiblast
cell_293,0,Posterior Epiblast
cell_295,2,Trophectoderm
cell_296,0,Posterior Epiblast
cell_298,2,Trophectoderm
cell_299,0,Posterior Epiblast
cell_300,5,Visceral Endoderm
cell_301,2,Trophectoderm
cell_303,0,Posterior Epiblast
cell_304,5,Visceral Endoderm
cell_307,3,Epiblast*
cell_308,3,Epiblast*
cell_309,3,Epiblast*
cell_311,3,Epiblast*
cell_314,0,Posterior Epiblast
cell_316,1,Anterior Epiblast
cell_317,0,Posterior Epiblast
cell_318,4,Epiblast*
cell_319,0,Posterior Epiblast
cell_320,0,Posterior Epiblast
cell_322,0,Posterior Epiblast
cell_323,1,Anterior Epiblast
cell_324,3,Epiblast*
cell_325,1,Anterior Epiblast
cell_326,0,Posterior Epiblast
cell_327,4,Epiblast*
cell_328,5,Visceral Endoderm
cell_329,2,Trophectoderm
cell_330,1,Anterior Epiblast
cell_331,5,Visceral Endoderm
cell_332,2,Trophectoderm
cell_334,1,Anterior Epiblast
cell_335,0,Posterior Epiblast
cell_337,4,Epiblast*
cell_338,1,Anterior Epiblast
cell_339,5,Visceral Endoderm
cell_343,5,Visceral Endoderm
cell_344,4,Epiblast*
cell_345,1,Anterior Epiblast
cell_346,4,Epiblast*
cell_347,5,Visceral Endoderm
cell_348,5,Visceral Endoderm
cell_349,2,Trophectoderm
cell_351,5,Visceral Endoderm
cell_352,3,Epiblast*
cell_353,2,Trophectoderm
cell_355,2,Trophectoderm
cell_357,0,Posterior Epiblast
cell_358,5,Visceral Endoderm
cell_359,4,Epiblast*
cell_360,1,Anterior Epiblast
cell_361,0,Visceral Endoderm
cell_363,8,Hemogenic
cell_364,6,Visceral Endoderm
cell_365,2,ant Neuroectoderm
cell_366,6,Visceral Endoderm
cell_367,3,ant Epiblast
cell_370,0,Visceral Endoderm
cell_371,3,ant Epiblast
cell_372,1,Trophectoderm
cell_373,10,Caudal Epiblast
cell_374,5,post Primitive Streak; early Extra embryonic mesoderm
cell_375,5,post Primitive Streak; early Extra embryonic mesoderm
cell_376,2,ant Neuroectoderm
cell_378,0,Visceral Endoderm
cell_380,3,ant Epiblast
cell_382,8,Hemogenic
cell_383,12,CardioPahayngeal progenitor
cell_388,0,Visceral Endoderm
cell_389,1,Trophectoderm
cell_392,5,post Primitive Streak; early Extra embryonic mesoderm
cell_394,13,Primitive Streak
cell_395,13,Primitive Streak
cell_396,0,Visceral Endoderm
cell_399,10,Caudal Epiblast
cell_400,7,Extraembryonic mesoderm
cell_402,6,Visceral Endoderm
cell_403,7,Extraembryonic mesoderm
