Cell,Louvain_Stage,Annotation_Stage
cell_517,0,
cell_518,2,
cell_519,6,
cell_521,2,
cell_523,0,
cell_524,5,
cell_526,7,
cell_527,2,
cell_528,0,
cell_529,9,
cell_530,3,
cell_532,7,
cell_533,0,
cell_534,9,
cell_539,6,
cell_540,2,
cell_541,9,
cell_542,5,
cell_544,8,
cell_546,5,
cell_547,12,
cell_548,1,
cell_549,6,
cell_550,2,
cell_553,8,
cell_554,4,
cell_555,9,
cell_556,11,
cell_557,7,
cell_559,0,
cell_562,9,
cell_563,1,
cell_564,5,
cell_565,4,
cell_566,9,
cell_567,1,
cell_569,2,
cell_572,0,
cell_574,2,
cell_577,2,
cell_578,12,
cell_580,7,
cell_581,0,
cell_582,9,
cell_584,1,
cell_585,11,
cell_586,0,
cell_587,2,
cell_588,0,
cell_589,9,
cell_590,1,
cell_594,4,
cell_597,1,
cell_599,7,
cell_600,0,
cell_601,0,
cell_602,9,
cell_603,5,
cell_604,2,
cell_605,5,
cell_606,4,
cell_607,1,
cell_608,9,
cell_609,6,
cell_610,10,
cell_612,1,
cell_613,5,
cell_614,0,
cell_616,7,
cell_617,12,
cell_618,7,
cell_619,5,
cell_621,9,
cell_623,12,
cell_624,9,
cell_626,10,
cell_628,5,
cell_630,4,
cell_631,0,
cell_632,5,
cell_633,9,
cell_634,5,
cell_635,9,
cell_637,9,
cell_638,4,
cell_639,5,
cell_640,1,
cell_643,0,
cell_645,9,
cell_646,5,
cell_652,5,
cell_653,5,
cell_654,1,
cell_655,12,
cell_656,0,
cell_658,9,
cell_659,0,
cell_660,7,
cell_661,0,
cell_663,4,
cell_664,8,
cell_665,9,
cell_666,7,
cell_667,4,
cell_670,7,
cell_671,9,
cell_672,8,
cell_674,8,
cell_676,9,
cell_677,5,
cell_678,1,
cell_680,2,
cell_681,1,
cell_682,1,
cell_683,1,
cell_684,7,
cell_686,7,
cell_687,2,
cell_689,7,
cell_690,1,
cell_693,0,
cell_694,7,
cell_695,4,
cell_696,5,
cell_697,1,
cell_699,2,
cell_700,2,
cell_702,4,
cell_703,2,
cell_704,3,
cell_705,0,
cell_706,1,
cell_707,10,
cell_709,6,
cell_711,7,
cell_714,1,
cell_717,4,
cell_718,5,
cell_720,4,
cell_721,1,
cell_722,1,
cell_723,1,
cell_724,1,
cell_727,2,
cell_728,4,
cell_730,11,
cell_732,0,
cell_734,0,
cell_735,4,
cell_737,6,
cell_738,4,
cell_739,0,
cell_740,11,
cell_742,0,
cell_743,0,
cell_744,0,
cell_745,4,
cell_747,9,
cell_748,9,
cell_749,5,
cell_750,6,
cell_752,0,
cell_753,12,
cell_754,1,
cell_755,1,
cell_756,7,
cell_757,5,
cell_758,0,
cell_759,2,
cell_760,3,
cell_762,0,
cell_763,12,
cell_764,0,
cell_765,5,
cell_767,2,
cell_768,12,
cell_769,9,
cell_772,1,
cell_773,0,
cell_774,12,
cell_775,5,
cell_779,2,
cell_780,12,
cell_781,0,
cell_782,12,
cell_784,0,
cell_785,0,
cell_786,0,
cell_787,1,
cell_788,1,
cell_789,2,
cell_790,9,
cell_791,0,
cell_792,2,
cell_794,1,
cell_795,11,
cell_797,5,
cell_798,0,
cell_799,0,
cell_800,9,
cell_801,0,
cell_803,7,
cell_804,1,
cell_805,5,
cell_806,7,
cell_807,11,
cell_808,9,
cell_809,3,
cell_810,2,
cell_811,6,
cell_813,4,
cell_814,7,
cell_815,10,
cell_816,10,
cell_818,1,
cell_819,0,
cell_820,2,
cell_821,6,
cell_822,0,
cell_823,7,
cell_824,2,
cell_825,5,
cell_826,0,
cell_828,0,
cell_829,0,
cell_830,2,
cell_832,4,
cell_833,4,
cell_834,12,
cell_835,0,
cell_836,1,
cell_837,7,
cell_838,8,
cell_839,0,
cell_840,3,
cell_841,4,
cell_842,10,
cell_843,0,
cell_844,12,
cell_845,7,
cell_846,6,
cell_847,3,
cell_848,3,
cell_849,4,
cell_853,12,
cell_854,1,
cell_855,7,
cell_856,9,
cell_857,0,
cell_858,1,
cell_859,5,
cell_860,3,
cell_861,7,
cell_862,4,
cell_863,0,
cell_868,0,
cell_869,11,
cell_870,10,
cell_871,0,
cell_873,10,
cell_874,0,
cell_875,2,
cell_876,6,
cell_877,2,
cell_878,5,
cell_879,1,
cell_880,1,
cell_881,0,
cell_882,2,
cell_884,2,
cell_886,4,
cell_887,4,
cell_888,9,
cell_889,0,
cell_890,6,
cell_891,1,
cell_892,7,
cell_893,11,
cell_894,9,
cell_895,0,
cell_896,6,
cell_897,8,
cell_898,0,
cell_900,0,
cell_901,5,
cell_902,9,
cell_903,1,
cell_905,12,
cell_907,1,
cell_908,0,
cell_909,7,
cell_910,3,
cell_911,12,
cell_912,8,
cell_913,10,
cell_914,1,
cell_915,0,
cell_916,0,
cell_917,2,
cell_918,1,
cell_919,4,
cell_920,4,
cell_921,4,
cell_924,9,
cell_925,5,
cell_926,3,
cell_928,1,
cell_930,7,
cell_931,8,
cell_932,5,
cell_933,1,
cell_934,1,
cell_936,0,
cell_937,0,
cell_938,8,
cell_939,7,
cell_940,10,
cell_941,12,
cell_942,0,
cell_944,6,
cell_945,2,
cell_946,4,
cell_947,9,
cell_948,9,
cell_949,1,
cell_951,3,
cell_952,9,
cell_953,8,
cell_954,12,
