Cell,Louvain_Stage,Annotation_Stage
cell_24446,2,
cell_24447,1,
cell_24448,0,
cell_24449,4,
cell_24450,7,
cell_24451,1,
cell_24452,0,
cell_24454,0,
cell_24455,7,
cell_24456,12,
cell_24457,1,
cell_24458,3,
cell_24460,12,
cell_24461,2,
cell_24462,2,
cell_24463,1,
cell_24464,11,
cell_24465,6,
cell_24466,1,
cell_24467,9,
cell_24468,1,
cell_24469,4,
cell_24470,13,
cell_24471,10,
cell_24472,1,
cell_24473,0,
cell_24475,5,
cell_24476,2,
cell_24477,0,
cell_24478,2,
cell_24479,5,
cell_24480,3,
cell_24481,4,
cell_24482,5,
cell_24483,7,
cell_24484,2,
cell_24485,6,
cell_24486,0,
cell_24487,0,
cell_24488,6,
cell_24489,13,
cell_24490,2,
cell_24491,2,
cell_24492,9,
cell_24493,3,
cell_24494,2,
cell_24495,12,
cell_24496,6,
cell_24497,4,
cell_24499,2,
cell_24500,9,
cell_24501,4,
cell_24502,8,
cell_24503,9,
cell_24504,2,
cell_24506,14,
cell_24507,1,
cell_24508,2,
cell_24509,4,
cell_24511,6,
cell_24512,1,
cell_24513,3,
cell_24514,6,
cell_24515,4,
cell_24516,2,
cell_24517,4,
cell_24518,3,
cell_24519,3,
cell_24520,0,
cell_24521,12,
cell_24522,9,
cell_24523,13,
cell_24524,1,
cell_24525,2,
cell_24526,9,
cell_24527,5,
cell_24528,9,
cell_24529,5,
cell_24530,4,
cell_24531,3,
cell_24532,8,
cell_24533,1,
cell_24534,4,
cell_24535,4,
cell_24537,4,
cell_24538,11,
cell_24540,0,
cell_24541,2,
cell_24542,10,
cell_24543,7,
cell_24544,5,
cell_24546,1,
cell_24547,0,
cell_24548,7,
cell_24550,4,
cell_24551,1,
cell_24552,5,
cell_24553,0,
cell_24554,1,
cell_24556,5,
cell_24557,14,
cell_24558,6,
cell_24559,12,
cell_24560,0,
cell_24561,6,
cell_24562,7,
cell_24563,10,
cell_24564,2,
cell_24565,6,
cell_24566,11,
cell_24567,11,
cell_24568,9,
cell_24569,4,
cell_24570,4,
cell_24572,7,
cell_24573,2,
cell_24574,6,
cell_24575,6,
cell_24576,5,
cell_24577,1,
cell_24578,1,
cell_24579,2,
cell_24580,9,
cell_24581,0,
cell_24582,11,
cell_24583,1,
cell_24584,11,
cell_24585,2,
cell_24586,6,
cell_24587,8,
cell_24588,13,
cell_24590,1,
cell_24592,0,
cell_24593,6,
cell_24594,4,
cell_24595,11,
cell_24596,5,
cell_24597,12,
cell_24598,6,
cell_24599,1,
cell_24600,5,
cell_24601,10,
cell_24602,0,
cell_24603,12,
cell_24604,2,
cell_24605,13,
cell_24606,11,
cell_24608,7,
cell_24609,6,
cell_24610,1,
cell_24614,3,
cell_24615,5,
cell_24617,0,
cell_24618,11,
cell_24619,12,
cell_24620,1,
cell_24621,8,
cell_24622,10,
cell_24624,6,
cell_24625,6,
cell_24626,0,
cell_24627,8,
cell_24628,4,
cell_24629,1,
cell_24630,9,
cell_24631,5,
cell_24632,4,
cell_24633,10,
cell_24634,5,
cell_24635,4,
cell_24636,6,
cell_24637,9,
cell_24638,6,
cell_24639,0,
cell_24640,2,
cell_24641,6,
cell_24642,2,
cell_24643,11,
cell_24644,2,
cell_24645,10,
cell_24646,6,
cell_24647,2,
cell_24648,4,
cell_24649,7,
cell_24650,2,
cell_24651,1,
cell_24653,7,
cell_24654,6,
cell_24656,8,
cell_24658,3,
cell_24660,2,
cell_24661,11,
cell_24662,0,
cell_24663,2,
cell_24664,14,
cell_24665,2,
cell_24666,4,
cell_24667,5,
cell_24668,4,
cell_24669,5,
cell_24670,2,
cell_24671,13,
cell_24672,6,
cell_24673,3,
cell_24674,1,
cell_24675,4,
cell_24676,0,
cell_24677,6,
cell_24678,10,
cell_24679,2,
cell_24680,1,
cell_24681,4,
cell_24682,5,
cell_24683,1,
cell_24684,1,
cell_24686,8,
cell_24687,13,
cell_24688,5,
cell_24690,0,
cell_24692,11,
cell_24693,5,
cell_24694,1,
cell_24696,2,
cell_24697,3,
cell_24698,5,
cell_24699,11,
cell_24700,5,
cell_24701,10,
cell_24702,12,
cell_24704,11,
cell_24705,8,
cell_24706,13,
cell_24707,1,
cell_24708,7,
cell_24709,1,
cell_24710,1,
cell_24711,4,
cell_24712,12,
cell_24713,10,
cell_24714,9,
cell_24715,5,
cell_24716,0,
cell_24717,10,
cell_24718,9,
cell_24719,4,
cell_24720,7,
cell_24721,6,
cell_24722,11,
cell_24723,7,
cell_24724,6,
cell_24725,15,
cell_24726,1,
cell_24727,4,
cell_24728,2,
cell_24729,6,
cell_24730,15,
cell_24731,5,
cell_24732,6,
cell_24733,3,
cell_24734,0,
cell_24736,8,
cell_24738,12,
cell_24739,11,
cell_24740,11,
cell_24741,11,
cell_24742,1,
cell_24743,0,
cell_24744,5,
cell_24745,7,
cell_24746,3,
cell_24747,3,
cell_24749,6,
cell_24750,7,
cell_24751,1,
cell_24752,4,
cell_24753,2,
cell_24754,10,
cell_24755,11,
cell_24756,5,
cell_24757,2,
cell_24758,8,
cell_24759,2,
cell_24760,6,
cell_24761,0,
cell_24763,2,
cell_24764,1,
cell_24765,1,
cell_24766,7,
cell_24767,0,
cell_24768,0,
cell_24769,7,
cell_24770,11,
cell_24771,12,
cell_24774,6,
cell_24775,0,
cell_24776,1,
cell_24777,2,
cell_24778,7,
cell_24779,1,
cell_24780,1,
cell_24781,1,
cell_24782,10,
cell_24783,6,
cell_24784,0,
cell_24785,6,
cell_24786,9,
cell_24787,15,
cell_24788,10,
cell_24789,1,
cell_24790,3,
cell_24794,12,
cell_24795,10,
cell_24796,2,
cell_24797,5,
cell_24798,11,
cell_24799,6,
cell_24800,5,
cell_24801,5,
cell_24802,1,
cell_24803,0,
cell_24804,9,
cell_24805,2,
cell_24806,2,
cell_24807,11,
cell_24808,4,
cell_24809,2,
cell_24810,2,
cell_24811,6,
cell_24812,0,
cell_24813,12,
cell_24814,1,
cell_24816,11,
cell_24817,2,
cell_24819,6,
cell_24822,1,
cell_24823,5,
cell_24824,0,
cell_24826,12,
cell_24827,10,
cell_24828,1,
cell_24829,0,
cell_24830,4,
cell_24831,2,
cell_24832,2,
cell_24833,2,
cell_24834,7,
cell_24835,0,
cell_24836,1,
cell_24837,3,
cell_24839,1,
cell_24840,2,
cell_24841,1,
cell_24842,4,
cell_24843,6,
cell_24844,2,
cell_24845,10,
cell_24846,4,
cell_24847,0,
cell_24849,6,
cell_24853,2,
cell_24855,8,
cell_24856,5,
cell_24857,9,
cell_24858,6,
cell_24859,5,
cell_24860,12,
cell_24861,5,
cell_24862,2,
cell_24863,13,
cell_24864,1,
cell_24865,1,
cell_24866,9,
cell_24868,5,
cell_24869,13,
cell_24870,4,
cell_24871,9,
cell_24872,5,
cell_24873,5,
cell_24874,3,
cell_24875,5,
cell_24876,3,
cell_24878,2,
cell_24879,6,
cell_24880,1,
cell_24881,1,
cell_24882,1,
cell_24883,7,
cell_24884,3,
cell_24885,9,
cell_24888,13,
cell_24890,0,
cell_24891,9,
cell_24892,1,
cell_24893,11,
cell_24894,15,
cell_24895,10,
cell_24896,9,
cell_24897,2,
cell_24899,1,
cell_24900,1,
cell_24901,5,
cell_24902,1,
cell_24903,6,
cell_24904,4,
cell_24905,7,
cell_24906,2,
cell_24907,0,
cell_24908,0,
cell_24909,3,
cell_24911,2,
cell_24912,1,
cell_24914,13,
cell_24915,0,
cell_24916,14,
cell_24917,2,
cell_24918,0,
cell_24919,11,
cell_24921,6,
cell_24923,6,
cell_24924,4,
cell_24925,7,
cell_24926,11,
cell_24927,3,
cell_24928,7,
cell_24929,3,
cell_24930,6,
cell_24931,12,
cell_24932,0,
cell_24933,13,
cell_24934,0,
cell_24935,10,
cell_24936,5,
cell_24937,2,
cell_24938,1,
cell_24939,4,
cell_24940,2,
cell_24941,1,
cell_24942,1,
cell_24944,7,
cell_24945,6,
cell_24947,2,
cell_24948,1,
cell_24949,0,
cell_24950,11,
cell_24951,5,
cell_24952,0,
cell_24953,2,
cell_24955,1,
cell_24956,1,
cell_24957,1,
cell_24958,7,
cell_24959,6,
cell_24960,6,
cell_24961,3,
cell_24962,1,
cell_24963,0,
cell_24964,1,
cell_24965,0,
cell_24967,6,
cell_24968,9,
cell_24969,11,
cell_24970,9,
cell_24971,8,
cell_24972,0,
cell_24973,1,
cell_24974,10,
cell_24975,3,
cell_24976,2,
cell_24977,5,
cell_24978,0,
cell_24979,11,
cell_24980,11,
cell_24981,9,
cell_24983,1,
cell_24984,0,
cell_24985,1,
cell_24986,5,
cell_24987,10,
cell_24988,12,
cell_24989,5,
cell_24990,1,
cell_24991,11,
cell_24992,2,
cell_24993,2,
cell_24994,4,
cell_24995,9,
cell_24996,6,
cell_24998,10,
cell_24999,2,
cell_25000,0,
cell_25001,12,
cell_25002,9,
cell_25003,4,
cell_25004,3,
cell_25005,1,
cell_25006,7,
cell_25007,0,
cell_25009,11,
cell_25010,2,
cell_25011,3,
cell_25013,10,
cell_25014,2,
cell_25015,3,
cell_25016,5,
cell_25017,5,
cell_25018,1,
cell_25019,8,
cell_25021,2,
cell_25022,5,
cell_25023,2,
cell_25024,4,
cell_25025,5,
cell_25026,6,
cell_25027,0,
cell_25028,1,
cell_25029,7,
cell_25030,2,
cell_25032,13,
cell_25033,5,
cell_25034,14,
cell_25035,9,
cell_25037,2,
cell_25038,10,
cell_25039,2,
cell_25040,4,
cell_25041,2,
cell_25042,2,
cell_25043,8,
cell_25045,1,
cell_25046,6,
cell_25047,9,
cell_25048,4,
cell_25049,2,
cell_25050,7,
cell_25051,12,
cell_25052,10,
cell_25053,10,
cell_25054,2,
cell_25055,0,
cell_25056,0,
cell_25057,4,
cell_25058,1,
cell_25059,8,
cell_25060,11,
cell_25061,0,
cell_25062,2,
cell_25063,2,
cell_25064,1,
cell_25066,1,
cell_25067,5,
cell_25068,7,
cell_25069,6,
cell_25070,6,
cell_25071,2,
cell_25072,14,
cell_25073,0,
cell_25074,6,
cell_25075,3,
cell_25076,1,
cell_25077,5,
cell_25078,4,
cell_25079,1,
cell_25081,10,
cell_25082,2,
cell_25084,2,
cell_25085,11,
cell_25086,9,
cell_25089,2,
cell_25090,11,
cell_25091,4,
cell_25092,8,
cell_25093,1,
cell_25094,12,
cell_25095,0,
cell_25096,7,
cell_25097,1,
cell_25098,1,
cell_25099,0,
cell_25100,13,
cell_25101,12,
cell_25102,13,
cell_25103,0,
cell_25105,1,
cell_25106,2,
cell_25107,6,
cell_25108,10,
cell_25109,2,
cell_25110,1,
cell_25111,8,
cell_25112,11,
cell_25114,4,
cell_25115,12,
cell_25116,6,
cell_25117,12,
cell_25118,2,
cell_25119,3,
cell_25125,1,
cell_25126,0,
cell_25127,0,
cell_25128,5,
cell_25129,0,
cell_25130,4,
cell_25133,2,
cell_25134,6,
cell_25135,12,
cell_25136,12,
cell_25137,1,
cell_25138,6,
cell_25139,10,
cell_25140,6,
cell_25141,1,
cell_25142,8,
cell_25143,8,
cell_25144,4,
cell_25146,7,
cell_25147,2,
cell_25149,6,
cell_25150,6,
cell_25151,7,
cell_25152,9,
cell_25153,1,
cell_25155,9,
cell_25156,1,
cell_25157,0,
cell_25158,2,
cell_25159,2,
cell_25160,5,
cell_25161,0,
cell_25162,1,
cell_25164,12,
cell_25165,0,
cell_25167,11,
cell_25168,4,
cell_25169,5,
cell_25170,1,
cell_25171,7,
cell_25173,7,
cell_25174,0,
cell_25175,4,
cell_25176,1,
cell_25177,13,
cell_25178,0,
cell_25179,9,
cell_25180,13,
cell_25181,9,
cell_25182,1,
cell_25183,1,
cell_25184,7,
cell_25185,1,
cell_25186,5,
cell_25187,1,
cell_25188,1,
cell_25189,1,
cell_25190,0,
cell_25191,0,
cell_25193,12,
cell_25194,5,
cell_25195,11,
cell_25196,4,
cell_25197,4,
cell_25198,3,
cell_25199,7,
cell_25200,10,
cell_25204,0,
cell_25206,1,
cell_25207,4,
cell_25208,6,
cell_25209,2,
cell_25210,5,
cell_25211,4,
cell_25212,8,
cell_25213,7,
cell_25214,0,
cell_25215,2,
cell_25217,12,
cell_25218,1,
cell_25219,4,
cell_25220,6,
cell_25221,3,
cell_25222,7,
cell_25223,4,
cell_25224,12,
cell_25225,2,
cell_25226,10,
cell_25227,0,
cell_25228,2,
cell_25229,1,
cell_25230,2,
cell_25231,6,
cell_25232,7,
cell_25233,4,
cell_25234,2,
cell_25235,0,
cell_25236,2,
cell_25237,7,
cell_25238,2,
cell_25239,4,
cell_25240,5,
cell_25241,10,
cell_25243,1,
cell_25244,1,
cell_25245,7,
cell_25247,5,
cell_25248,1,
cell_25249,6,
cell_25250,5,
cell_25251,15,
cell_25253,9,
cell_25254,1,
cell_25256,11,
cell_25257,6,
cell_25258,2,
cell_25259,10,
cell_25261,1,
cell_25263,8,
cell_25264,11,
cell_25265,10,
cell_25267,4,
cell_25268,4,
cell_25269,0,
cell_25270,12,
cell_25271,6,
cell_25272,0,
cell_25273,1,
cell_25274,5,
cell_25275,9,
cell_25276,5,
cell_25277,1,
cell_25278,1,
cell_25279,1,
cell_25280,5,
cell_25281,2,
cell_25282,4,
cell_25283,12,
cell_25287,7,
cell_25289,1,
cell_25290,0,
cell_25291,2,
cell_25292,0,
cell_25294,5,
cell_25297,7,
cell_25299,5,
cell_25300,2,
cell_25301,2,
cell_25302,7,
cell_25303,6,
cell_25304,2,
cell_25305,6,
cell_25307,2,
cell_25308,2,
cell_25309,5,
cell_25310,3,
cell_25311,4,
cell_25312,1,
cell_25313,5,
cell_25316,0,
cell_25317,2,
cell_25318,3,
cell_25319,5,
cell_25320,10,
cell_25321,0,
cell_25322,7,
cell_25324,9,
cell_25325,0,
cell_25326,12,
cell_25327,0,
cell_25328,1,
cell_25331,0,
cell_25332,1,
cell_25334,0,
cell_25335,12,
cell_25336,5,
cell_25337,1,
cell_25338,4,
cell_25339,5,
cell_25340,0,
cell_25342,2,
cell_25343,7,
cell_25345,9,
cell_25346,0,
cell_25347,8,
cell_25348,6,
cell_25349,1,
cell_25350,5,
cell_25351,5,
cell_25352,6,
cell_25353,3,
cell_25355,3,
cell_25356,8,
cell_25357,6,
cell_25358,11,
cell_25360,6,
cell_25361,1,
cell_25362,0,
cell_25363,10,
cell_25364,8,
cell_25365,2,
cell_25366,4,
cell_25367,1,
cell_25368,1,
cell_25369,11,
cell_25370,1,
cell_25371,1,
cell_25372,2,
cell_25373,0,
cell_25374,6,
cell_25375,5,
cell_25376,2,
cell_25377,1,
cell_25378,10,
cell_25379,5,
cell_25380,1,
cell_25381,13,
cell_25382,2,
cell_25383,6,
cell_25384,6,
cell_25385,11,
cell_25386,5,
cell_25388,4,
cell_25389,12,
cell_25390,4,
cell_25391,5,
cell_25392,7,
cell_25393,7,
cell_25394,9,
cell_25395,2,
cell_25396,15,
cell_25397,3,
cell_25398,3,
cell_25399,10,
cell_25400,10,
cell_25401,4,
cell_25402,6,
cell_25403,8,
cell_25404,5,
cell_25405,6,
cell_25406,3,
cell_25407,2,
cell_25408,2,
cell_25409,2,
cell_25410,2,
cell_25411,2,
cell_25412,9,
cell_25413,7,
cell_25414,2,
cell_25416,1,
cell_25417,14,
cell_25418,7,
cell_25419,2,
cell_25420,1,
cell_25421,8,
cell_25422,11,
cell_25423,14,
cell_25424,1,
cell_25425,4,
cell_25426,6,
cell_25427,5,
cell_25428,0,
cell_25429,4,
cell_25430,3,
cell_25431,0,
cell_25432,1,
cell_25433,0,
cell_25434,1,
cell_25435,1,
cell_25436,0,
cell_25437,0,
cell_25438,8,
cell_25439,0,
cell_25440,0,
cell_25441,10,
cell_25442,0,
cell_25443,11,
cell_25444,0,
cell_25445,14,
cell_25446,0,
cell_25447,12,
cell_25448,8,
cell_25449,4,
cell_25450,1,
cell_25451,5,
cell_25452,3,
cell_25453,5,
cell_25454,1,
cell_25455,5,
cell_25456,10,
cell_25457,15,
cell_25458,0,
cell_25459,6,
cell_25460,10,
cell_25461,7,
cell_25462,10,
cell_25463,0,
cell_25464,9,
cell_25465,4,
cell_25466,11,
cell_25467,6,
cell_25468,5,
cell_25469,6,
cell_25471,1,
cell_25473,4,
cell_25474,10,
cell_25475,1,
cell_25476,4,
cell_25477,1,
cell_25478,6,
cell_25479,3,
cell_25480,7,
cell_25481,2,
cell_25482,0,
cell_25483,11,
cell_25484,1,
cell_25485,6,
cell_25486,15,
cell_25487,2,
cell_25488,4,
cell_25489,5,
cell_25490,6,
cell_25492,6,
cell_25493,2,
cell_25494,1,
cell_25495,1,
cell_25497,1,
cell_25498,9,
cell_25499,9,
cell_25500,4,
cell_25502,7,
cell_25503,0,
cell_25504,0,
cell_25505,4,
cell_25506,1,
cell_25507,2,
cell_25508,8,
cell_25509,0,
cell_25510,2,
cell_25511,4,
cell_25512,2,
cell_25513,6,
cell_25514,4,
cell_25515,2,
cell_25516,4,
cell_25517,0,
cell_25518,3,
cell_25519,6,
cell_25520,6,
cell_25522,13,
cell_25523,11,
cell_25524,4,
cell_25525,1,
cell_25526,6,
cell_25527,7,
cell_25528,5,
cell_25530,12,
cell_25531,9,
cell_25532,3,
cell_25533,2,
cell_25534,0,
cell_25535,8,
cell_25536,1,
cell_25537,9,
cell_25538,5,
cell_25539,2,
cell_25540,4,
cell_25541,2,
cell_25542,5,
cell_25543,2,
cell_25544,2,
cell_25545,0,
cell_25546,1,
cell_25548,3,
cell_25549,1,
cell_25550,2,
cell_25551,4,
cell_25552,9,
cell_25553,3,
cell_25554,0,
cell_25555,2,
cell_25556,2,
cell_25557,5,
cell_25559,12,
cell_25561,6,
cell_25562,2,
cell_25563,0,
cell_25564,3,
cell_25565,8,
cell_25566,4,
cell_25567,1,
cell_25568,2,
cell_25569,2,
cell_25570,5,
cell_25571,12,
cell_25573,6,
cell_25574,5,
cell_25575,3,
cell_25576,11,
cell_25577,0,
cell_25578,1,
cell_25579,4,
cell_25580,6,
cell_25582,1,
cell_25583,5,
cell_25584,4,
cell_25585,1,
cell_25586,4,
cell_25587,4,
cell_25588,6,
cell_25589,2,
cell_25590,11,
cell_25591,1,
cell_25592,3,
cell_25593,3,
cell_25594,0,
cell_25595,4,
cell_25597,4,
cell_25598,7,
cell_25599,5,
cell_25600,5,
cell_25601,0,
cell_25602,1,
cell_25603,11,
cell_25604,9,
cell_25605,2,
cell_25606,2,
cell_25607,1,
cell_25608,0,
cell_25609,0,
cell_25610,5,
cell_25611,0,
cell_25612,12,
cell_25613,7,
cell_25614,4,
cell_25615,1,
cell_25616,0,
cell_25618,2,
cell_25619,11,
cell_25620,1,
cell_25621,1,
cell_25622,1,
cell_25623,1,
cell_25624,5,
cell_25625,5,
cell_25626,1,
cell_25627,0,
cell_25628,1,
cell_25630,5,
cell_25631,11,
cell_25632,6,
cell_25633,4,
cell_25634,1,
cell_25636,0,
cell_25639,6,
cell_25640,10,
cell_25641,4,
cell_25642,15,
cell_25643,1,
cell_25644,2,
cell_25645,5,
cell_25647,0,
cell_25648,0,
cell_25649,10,
cell_25650,4,
cell_25653,5,
cell_25654,0,
cell_25655,15,
cell_25656,0,
cell_25657,6,
cell_25659,9,
cell_25660,8,
cell_25661,11,
cell_25662,2,
cell_25663,2,
cell_25664,6,
cell_25665,10,
cell_25666,6,
cell_25667,7,
cell_25668,11,
cell_25669,13,
cell_25670,0,
cell_25671,5,
cell_25672,2,
cell_25673,9,
cell_25674,12,
cell_25675,1,
cell_25676,6,
cell_25678,6,
cell_25679,3,
cell_25680,11,
cell_25681,8,
cell_25682,11,
cell_25683,0,
cell_25684,2,
cell_25685,6,
cell_25686,1,
cell_25687,1,
cell_25688,9,
cell_25689,12,
cell_25690,0,
cell_25691,2,
cell_25692,3,
cell_25693,2,
cell_25694,12,
cell_25696,1,
cell_25697,9,
cell_25698,5,
cell_25699,0,
cell_25700,2,
cell_25701,11,
cell_25702,2,
cell_25704,9,
cell_25705,12,
cell_25707,1,
cell_25709,4,
cell_25710,7,
cell_25711,12,
cell_25712,3,
cell_25713,6,
cell_25714,8,
cell_25715,5,
cell_25716,1,
cell_25717,1,
cell_25718,9,
cell_25719,4,
cell_25720,0,
cell_25721,2,
cell_25723,6,
cell_25724,1,
cell_25725,1,
cell_25726,1,
cell_25727,10,
cell_25728,5,
cell_25730,9,
cell_25731,10,
cell_25732,1,
cell_25733,2,
cell_25734,4,
cell_25735,8,
cell_25736,6,
cell_25737,4,
cell_25738,1,
cell_25740,6,
cell_25741,13,
cell_25742,2,
cell_25743,6,
cell_25744,7,
cell_25745,6,
cell_25746,6,
cell_25747,11,
cell_25748,3,
cell_25749,1,
cell_25750,11,
cell_25751,5,
cell_25752,2,
cell_25753,3,
cell_25754,1,
cell_25755,10,
cell_25756,6,
cell_25757,1,
cell_25758,10,
cell_25759,9,
cell_25760,3,
cell_25761,7,
cell_25762,1,
cell_25763,0,
cell_25765,1,
cell_25766,11,
cell_25767,12,
cell_25768,2,
cell_25769,5,
cell_25770,1,
cell_25771,2,
cell_25773,6,
cell_25775,0,
cell_25776,9,
cell_25777,4,
cell_25778,12,
cell_25779,2,
cell_25780,2,
cell_25781,0,
cell_25782,5,
cell_25783,7,
cell_25784,0,
cell_25785,1,
cell_25786,0,
cell_25787,9,
cell_25788,10,
cell_25789,1,
cell_25790,11,
cell_25791,5,
cell_25792,2,
cell_25794,11,
cell_25795,4,
cell_25796,12,
cell_25797,4,
cell_25799,4,
cell_25800,1,
cell_25801,1,
cell_25802,9,
cell_25803,1,
cell_25804,1,
cell_25805,11,
cell_25806,5,
cell_25807,5,
cell_25808,5,
cell_25809,0,
cell_25810,11,
cell_25813,5,
cell_25814,0,
cell_25816,3,
cell_25817,5,
cell_25818,1,
cell_25819,8,
cell_25820,0,
cell_25821,2,
cell_25822,5,
cell_25823,2,
cell_25824,2,
cell_25825,5,
cell_25826,12,
cell_25827,9,
cell_25828,4,
cell_25830,2,
cell_25831,0,
cell_25832,2,
cell_25834,2,
cell_25835,12,
cell_25836,1,
cell_25837,2,
cell_25838,8,
cell_25839,12,
cell_25840,5,
cell_25841,7,
cell_25843,7,
cell_25844,9,
cell_25845,5,
cell_25846,0,
cell_25847,1,
cell_25848,7,
cell_25849,6,
cell_25850,11,
cell_25851,1,
cell_25852,5,
cell_25853,1,
cell_25854,3,
cell_25855,7,
cell_25856,6,
cell_25857,6,
cell_25859,8,
cell_25860,10,
cell_25861,6,
cell_25862,2,
cell_25863,2,
cell_25864,0,
cell_25865,6,
cell_25866,1,
cell_25868,1,
cell_25869,9,
cell_25871,2,
cell_25872,1,
cell_25873,5,
cell_25874,0,
cell_25875,12,
cell_25876,6,
cell_25877,3,
cell_25879,11,
cell_25880,7,
cell_25881,1,
cell_25882,2,
cell_25884,9,
cell_25885,8,
cell_25886,1,
cell_25888,5,
cell_25889,6,
cell_25890,5,
cell_25891,4,
cell_25893,10,
cell_25894,0,
cell_25895,6,
cell_25896,6,
cell_25898,6,
cell_25899,2,
cell_25900,5,
cell_25901,2,
cell_25902,0,
cell_25903,1,
cell_25904,4,
cell_25905,12,
cell_25906,2,
cell_25907,10,
cell_25908,12,
cell_25909,1,
cell_25911,6,
cell_25912,1,
cell_25913,1,
cell_25914,0,
cell_25915,3,
cell_25916,7,
cell_25917,11,
cell_25919,3,
cell_25921,0,
cell_25922,1,
cell_25923,6,
cell_25924,2,
cell_25925,0,
cell_25926,12,
cell_25927,5,
cell_25928,0,
cell_25930,0,
cell_25931,7,
cell_25932,4,
cell_25934,7,
cell_25935,9,
cell_25936,11,
cell_25937,2,
cell_25938,5,
cell_25940,4,
cell_25941,9,
cell_25942,3,
cell_25943,2,
cell_25944,5,
cell_25946,3,
cell_25947,10,
cell_25948,2,
cell_25951,1,
cell_25952,4,
cell_25953,3,
cell_25954,4,
cell_25955,1,
cell_25956,10,
cell_25957,10,
cell_25958,5,
cell_25959,5,
cell_25960,1,
cell_25961,12,
cell_25962,1,
cell_25963,2,
cell_25964,12,
cell_25966,6,
cell_25967,6,
cell_25968,2,
cell_25969,0,
cell_25970,4,
cell_25971,8,
cell_25972,6,
cell_25973,5,
cell_25974,10,
cell_25975,11,
cell_25976,2,
cell_25977,5,
cell_25978,2,
cell_25979,4,
cell_25980,6,
cell_25981,4,
cell_25982,3,
cell_25984,11,
cell_25985,4,
cell_25986,4,
cell_25987,4,
cell_25988,1,
cell_25989,0,
cell_25990,15,
cell_25991,2,
cell_25993,1,
cell_25994,12,
cell_25995,1,
cell_25996,1,
cell_25997,1,
cell_25998,7,
cell_25999,6,
cell_26000,2,
cell_26001,5,
cell_26002,7,
cell_26003,4,
cell_26004,2,
cell_26006,0,
cell_26008,6,
cell_26009,8,
cell_26010,6,
cell_26011,2,
cell_26012,9,
cell_26013,4,
cell_26014,1,
cell_26015,6,
cell_26017,2,
cell_26018,11,
cell_26019,2,
cell_26020,0,
cell_26022,2,
cell_26023,4,
cell_26024,10,
cell_26025,6,
cell_26026,2,
cell_26028,5,
cell_26029,1,
cell_26030,7,
cell_26031,1,
cell_26032,1,
cell_26033,1,
cell_26034,11,
cell_26035,2,
cell_26036,0,
cell_26037,2,
cell_26038,6,
cell_26039,0,
cell_26040,4,
cell_26041,1,
cell_26042,9,
cell_26043,2,
cell_26044,4,
cell_26045,6,
cell_26046,1,
cell_26047,7,
cell_26048,8,
cell_26049,3,
cell_26050,5,
cell_26051,4,
cell_26052,0,
cell_26053,2,
cell_26055,12,
cell_26057,2,
cell_26058,5,
cell_26059,0,
cell_26060,7,
cell_26061,0,
cell_26062,2,
cell_26063,4,
cell_26065,2,
cell_26067,2,
cell_26070,1,
cell_26071,11,
cell_26072,1,
cell_26073,1,
cell_26074,1,
cell_26075,2,
cell_26076,5,
cell_26077,4,
cell_26078,2,
cell_26079,9,
cell_26080,0,
cell_26081,4,
cell_26082,12,
cell_26083,11,
cell_26084,11,
cell_26085,1,
cell_26086,1,
cell_26087,10,
cell_26088,6,
cell_26089,0,
cell_26090,6,
cell_26091,1,
cell_26092,0,
cell_26093,2,
cell_26094,8,
cell_26096,7,
cell_26097,10,
cell_26100,5,
cell_26102,2,
cell_26103,1,
cell_26104,13,
cell_26105,6,
cell_26106,6,
cell_26107,1,
cell_26108,7,
cell_26109,4,
cell_26111,9,
cell_26112,1,
cell_26113,6,
cell_26114,0,
cell_26115,6,
cell_26116,5,
cell_26118,0,
cell_26119,6,
cell_26120,2,
cell_26121,5,
cell_26123,9,
cell_26124,7,
cell_26125,2,
cell_26126,6,
cell_26127,1,
cell_26128,3,
cell_26129,5,
cell_26130,8,
cell_26131,6,
cell_26132,3,
cell_26133,7,
cell_26134,7,
cell_26135,10,
cell_26136,2,
cell_26137,4,
cell_26138,1,
cell_26139,0,
cell_26140,1,
cell_26141,5,
cell_26142,6,
cell_26145,1,
cell_26146,12,
cell_26147,6,
cell_26148,1,
cell_26149,1,
cell_26150,7,
cell_26152,6,
cell_26153,8,
cell_26154,1,
cell_26155,5,
cell_26156,0,
cell_26157,5,
cell_26158,0,
cell_26159,10,
cell_26160,4,
cell_26161,10,
cell_26162,13,
cell_26163,4,
cell_26164,1,
cell_26165,4,
cell_26166,8,
cell_26167,0,
cell_26169,10,
cell_26170,4,
cell_26171,8,
cell_26172,11,
cell_26173,1,
cell_26174,10,
cell_26175,4,
cell_26176,13,
cell_26178,7,
cell_26179,4,
cell_26180,10,
cell_26181,0,
cell_26183,1,
cell_26184,2,
cell_26185,1,
cell_26186,9,
cell_26187,1,
cell_26188,7,
cell_26189,2,
cell_26190,0,
cell_26191,0,
cell_26192,8,
cell_26194,4,
cell_26195,1,
cell_26196,0,
cell_26198,2,
cell_26199,7,
cell_26200,3,
cell_26201,13,
cell_26202,15,
cell_26203,12,
cell_26204,8,
cell_26205,4,
cell_26206,2,
cell_26207,1,
cell_26208,2,
cell_26210,4,
cell_26211,11,
