,Stage,Sample,Louvain,DPC
24090,E7.75,13,2,11
24091,E7.75,13,5,8
24092,E7.75,13,10,11
24093,E7.75,13,3,11
24094,E7.75,13,6,10
24095,E7.75,13,1,1
24098,E7.75,13,8,9
24099,E7.75,13,6,10
24100,E7.75,13,0,3
24101,E7.75,13,6,10
24103,E7.75,13,0,3
24104,E7.75,13,0,3
24105,E7.75,13,6,5
24107,E7.75,13,6,10
24108,E7.75,13,10,11
24109,E7.75,13,2,11
24111,E7.75,13,3,6
24113,E7.75,13,5,4
24114,E7.75,13,9,7
24115,E7.75,13,7,12
24116,E7.75,13,1,1
24117,E7.75,13,7,12
24118,E7.75,13,2,11
24119,E7.75,13,4,5
24121,E7.75,13,4,5
24122,E7.75,13,12,1
24124,E7.75,13,1,1
24125,E7.75,13,0,3
24127,E7.75,13,8,9
24128,E7.75,13,5,4
24131,E7.75,13,0,3
24132,E7.75,13,8,9
24133,E7.75,13,0,3
24134,E7.75,13,1,1
24135,E7.75,13,3,11
24136,E7.75,13,2,11
24137,E7.75,13,11,0
24138,E7.75,13,9,7
24139,E7.75,13,0,3
24140,E7.75,13,0,3
24141,E7.75,13,2,11
24142,E7.75,13,8,9
24143,E7.75,13,3,6
24144,E7.75,13,0,3
24145,E7.75,13,10,11
24146,E7.75,13,6,10
24147,E7.75,13,3,6
24148,E7.75,13,6,10
24149,E7.75,13,9,7
24150,E7.75,13,2,11
24151,E7.75,13,1,1
24152,E7.75,13,1,1
24153,E7.75,13,8,9
24154,E7.75,13,8,9
24155,E7.75,13,1,1
24156,E7.75,13,7,8
24157,E7.75,13,2,11
24158,E7.75,13,9,7
24159,E7.75,13,0,3
24161,E7.75,13,5,4
24162,E7.75,13,5,4
24163,E7.75,13,10,11
24164,E7.75,13,4,6
24165,E7.75,13,7,12
24166,E7.75,13,8,9
24167,E7.75,13,3,11
24168,E7.75,13,6,10
24169,E7.75,13,2,11
24170,E7.75,13,7,8
24171,E7.75,13,2,11
24172,E7.75,13,3,11
24174,E7.75,13,1,1
24175,E7.75,13,5,8
24176,E7.75,13,14,3
24177,E7.75,13,2,11
24178,E7.75,13,2,11
24179,E7.75,13,0,3
24180,E7.75,13,4,5
24181,E7.75,13,3,6
24182,E7.75,13,3,6
24184,E7.75,13,2,11
24185,E7.75,13,6,10
24186,E7.75,13,8,9
24187,E7.75,13,10,11
24188,E7.75,13,2,11
24189,E7.75,13,3,11
24190,E7.75,13,4,5
24191,E7.75,13,3,11
24192,E7.75,13,11,0
24193,E7.75,13,2,11
24194,E7.75,13,8,9
24196,E7.75,13,1,1
24197,E7.75,13,8,9
24198,E7.75,13,2,11
24199,E7.75,13,0,3
24200,E7.75,13,9,7
24202,E7.75,13,8,9
24204,E7.75,13,3,6
24205,E7.75,13,0,3
24206,E7.75,13,3,6
24207,E7.75,13,4,5
24208,E7.75,13,6,10
24209,E7.75,13,0,3
24210,E7.75,13,4,5
24211,E7.75,13,4,5
24212,E7.75,13,11,0
24213,E7.75,13,3,6
24215,E7.75,13,0,3
24216,E7.75,13,3,6
24217,E7.75,13,9,7
24219,E7.75,13,9,7
24220,E7.75,13,3,6
24221,E7.75,13,0,3
24223,E7.75,13,2,11
24224,E7.75,13,5,8
24227,E7.75,13,2,11
24228,E7.75,13,4,5
24229,E7.75,13,1,1
24230,E7.75,13,4,5
24231,E7.75,13,10,11
24232,E7.75,13,0,3
24234,E7.75,13,4,5
24235,E7.75,13,7,12
24236,E7.75,13,9,7
24237,E7.75,13,11,0
24238,E7.75,13,6,10
24239,E7.75,13,4,5
24241,E7.75,13,9,7
24242,E7.75,13,9,7
24243,E7.75,13,2,11
24244,E7.75,13,2,11
24245,E7.75,13,8,9
24246,E7.75,13,4,5
24247,E7.75,13,5,4
24248,E7.75,13,2,11
24249,E7.75,13,6,5
24250,E7.75,13,1,1
24252,E7.75,13,9,7
24253,E7.75,13,6,10
24254,E7.75,13,0,3
24257,E7.75,13,3,6
24258,E7.75,13,3,6
24260,E7.75,13,0,3
24261,E7.75,13,2,11
24262,E7.75,13,2,11
24263,E7.75,13,7,8
24264,E7.75,13,4,5
24265,E7.75,13,7,9
24266,E7.75,13,1,1
24268,E7.75,13,14,3
24269,E7.75,13,13,2
24270,E7.75,13,1,1
24271,E7.75,13,3,11
24272,E7.75,13,4,5
24273,E7.75,13,4,5
24275,E7.75,13,14,3
24276,E7.75,13,0,3
24277,E7.75,13,10,11
24278,E7.75,13,0,3
24279,E7.75,13,0,3
24280,E7.75,13,5,4
24282,E7.75,13,2,11
24283,E7.75,13,9,7
24284,E7.75,13,11,0
24285,E7.75,13,10,11
24286,E7.75,13,8,9
24288,E7.75,13,4,5
24289,E7.75,13,1,1
24290,E7.75,13,11,0
24291,E7.75,13,4,5
24292,E7.75,13,3,6
24293,E7.75,13,5,8
24294,E7.75,13,0,3
24295,E7.75,13,10,6
24296,E7.75,13,8,9
24297,E7.75,13,2,11
24298,E7.75,13,1,1
24299,E7.75,13,0,3
24300,E7.75,13,5,4
24301,E7.75,13,0,3
24302,E7.75,13,1,1
24303,E7.75,13,10,11
24304,E7.75,13,4,5
24305,E7.75,13,8,9
24306,E7.75,13,1,1
24307,E7.75,13,12,1
24308,E7.75,13,4,10
24309,E7.75,13,1,1
24310,E7.75,13,7,9
24312,E7.75,13,4,5
24313,E7.75,13,9,7
24314,E7.75,13,0,3
24315,E7.75,13,9,7
24316,E7.75,13,11,0
24317,E7.75,13,0,3
24318,E7.75,13,2,11
24319,E7.75,13,7,9
24320,E7.75,13,0,3
24321,E7.75,13,8,9
24322,E7.75,13,1,1
24323,E7.75,13,12,1
24325,E7.75,13,0,3
24326,E7.75,13,5,4
24327,E7.75,13,0,3
24329,E7.75,13,0,3
24330,E7.75,13,8,7
24331,E7.75,13,3,11
24332,E7.75,13,3,6
24333,E7.75,13,9,7
24334,E7.75,13,4,5
24335,E7.75,13,6,10
24336,E7.75,13,4,5
24337,E7.75,13,1,1
24338,E7.75,13,2,11
24339,E7.75,13,10,6
24340,E7.75,13,5,4
24342,E7.75,13,7,8
24344,E7.75,13,6,10
24346,E7.75,13,8,9
24348,E7.75,13,0,3
24349,E7.75,13,11,0
24350,E7.75,13,2,11
24351,E7.75,13,9,7
24352,E7.75,13,5,8
24354,E7.75,13,11,0
24355,E7.75,13,0,3
24356,E7.75,13,10,11
24357,E7.75,13,10,11
24358,E7.75,13,8,9
24360,E7.75,13,8,9
24362,E7.75,13,0,3
24364,E7.75,13,10,11
24365,E7.75,13,10,11
24367,E7.75,13,7,8
24369,E7.75,13,9,7
24370,E7.75,13,4,5
24371,E7.75,13,3,6
24372,E7.75,13,8,7
24374,E7.75,13,6,10
24375,E7.75,13,7,12
24376,E7.75,13,1,1
24378,E7.75,13,12,1
24379,E7.75,13,6,10
24380,E7.75,13,0,3
24381,E7.75,13,14,3
24382,E7.75,13,9,7
24386,E7.75,13,2,11
24387,E7.75,13,3,11
24388,E7.75,13,4,5
24389,E7.75,13,7,12
24390,E7.75,13,13,2
24391,E7.75,13,1,1
24393,E7.75,13,0,3
24394,E7.75,13,5,8
24395,E7.75,13,6,9
24396,E7.75,13,5,8
24398,E7.75,13,3,11
24399,E7.75,13,3,6
24400,E7.75,13,8,9
24401,E7.75,13,7,12
24402,E7.75,13,0,3
24403,E7.75,13,3,6
24404,E7.75,13,0,3
24405,E7.75,13,7,9
24406,E7.75,13,0,3
24407,E7.75,13,3,6
24408,E7.75,13,0,3
24410,E7.75,13,10,11
24412,E7.75,13,7,12
24413,E7.75,13,3,6
24414,E7.75,13,4,5
24415,E7.75,13,13,2
24416,E7.75,13,2,11
24418,E7.75,13,7,8
24419,E7.75,13,7,12
24420,E7.75,13,2,11
24421,E7.75,13,7,12
24422,E7.75,13,4,5
24423,E7.75,13,2,11
24425,E7.75,13,3,6
24426,E7.75,13,4,5
24428,E7.75,13,1,1
24429,E7.75,13,6,10
24430,E7.75,13,4,5
24431,E7.75,13,5,4
24433,E7.75,13,6,10
24434,E7.75,13,3,6
24435,E7.75,13,6,10
24438,E7.75,13,9,7
24439,E7.75,13,5,8
24440,E7.75,13,7,9
24441,E7.75,13,9,7
24442,E7.75,13,0,3
24443,E7.75,13,4,5
24444,E7.75,13,2,11
24445,E7.75,13,2,11
24446,E7.75,13,8,9
24447,E7.75,13,0,3
24448,E7.75,13,5,8
24449,E7.75,13,7,12
24450,E7.75,13,4,5
24451,E7.75,13,0,3
24453,E7.75,13,0,3
24454,E7.75,13,6,10
24455,E7.75,13,8,9
24456,E7.75,13,4,5
24457,E7.75,13,1,1
24459,E7.75,13,8,9
24460,E7.75,13,2,11
24461,E7.75,13,2,11
24462,E7.75,13,10,5
24463,E7.75,13,10,6
24464,E7.75,13,3,5
24465,E7.75,13,4,5
24467,E7.75,13,4,5
24468,E7.75,13,5,4
24469,E7.75,13,3,6
24471,E7.75,13,4,5
24472,E7.75,13,0,3
24474,E7.75,13,3,11
24475,E7.75,13,2,11
24476,E7.75,13,0,3
24477,E7.75,13,2,11
24478,E7.75,13,3,11
24479,E7.75,13,1,1
24480,E7.75,13,5,4
24481,E7.75,13,3,11
24482,E7.75,13,7,8
24483,E7.75,13,2,11
24484,E7.75,13,6,10
24486,E7.75,13,0,3
24487,E7.75,13,6,10
24488,E7.75,13,4,5
24489,E7.75,13,2,11
24490,E7.75,13,10,11
24491,E7.75,13,9,7
24492,E7.75,13,1,1
24493,E7.75,13,2,11
24494,E7.75,13,8,9
24495,E7.75,13,6,10
24496,E7.75,13,5,8
24498,E7.75,13,2,11
24499,E7.75,13,9,7
24500,E7.75,13,5,8
24501,E7.75,13,12,1
24502,E7.75,13,9,7
24503,E7.75,13,2,11
24505,E7.75,13,13,2
24506,E7.75,13,6,5
24507,E7.75,13,2,11
24508,E7.75,13,5,4
24510,E7.75,13,6,10
24512,E7.75,13,1,1
24513,E7.75,13,6,10
24514,E7.75,13,5,8
24515,E7.75,13,2,11
24516,E7.75,13,5,4
24517,E7.75,13,1,1
24518,E7.75,13,1,1
24519,E7.75,13,0,3
24520,E7.75,13,8,9
24521,E7.75,13,9,7
24522,E7.75,13,3,6
24523,E7.75,13,4,5
24524,E7.75,13,2,11
24525,E7.75,13,9,7
24526,E7.75,13,3,6
24527,E7.75,13,9,7
24528,E7.75,13,3,6
24529,E7.75,13,5,4
24530,E7.75,13,1,1
24531,E7.75,13,12,1
24532,E7.75,13,4,5
24533,E7.75,13,5,8
24534,E7.75,13,5,8
24536,E7.75,13,5,4
24537,E7.75,13,10,11
24539,E7.75,13,0,3
24540,E7.75,13,2,11
24541,E7.75,13,11,0
24542,E7.75,13,7,12
24543,E7.75,13,3,6
24545,E7.75,13,4,5
24546,E7.75,13,0,3
24547,E7.75,13,7,12
24549,E7.75,13,5,4
24550,E7.75,13,4,10
24551,E7.75,13,3,11
24552,E7.75,13,0,3
24553,E7.75,13,4,5
24555,E7.75,13,3,6
24556,E7.75,13,13,2
24557,E7.75,13,6,10
24558,E7.75,13,8,9
24559,E7.75,13,0,3
24560,E7.75,13,6,10
24561,E7.75,13,7,8
24562,E7.75,13,11,0
24563,E7.75,13,2,11
24564,E7.75,13,6,10
24565,E7.75,13,10,11
24566,E7.75,13,10,11
24567,E7.75,13,9,7
24568,E7.75,13,5,8
24569,E7.75,13,5,4
24571,E7.75,13,7,8
24572,E7.75,13,2,11
24573,E7.75,13,6,10
24574,E7.75,13,4,5
24575,E7.75,13,3,11
24577,E7.75,13,4,5
24578,E7.75,13,2,11
24579,E7.75,13,9,7
24580,E7.75,13,0,3
24581,E7.75,13,10,11
24582,E7.75,13,4,5
24583,E7.75,13,10,11
24584,E7.75,13,2,11
24585,E7.75,13,6,10
24586,E7.75,13,1,1
24587,E7.75,13,4,5
24589,E7.75,13,4,5
24591,E7.75,13,0,3
24592,E7.75,13,6,10
24593,E7.75,13,5,8
24594,E7.75,13,10,6
24596,E7.75,13,8,9
24597,E7.75,13,6,10
24598,E7.75,13,4,5
24599,E7.75,13,3,6
24600,E7.75,13,11,0
24602,E7.75,13,8,9
24603,E7.75,13,2,11
24604,E7.75,13,3,6
24605,E7.75,13,10,11
24608,E7.75,13,6,10
24609,E7.75,13,4,5
24613,E7.75,13,1,1
24614,E7.75,13,3,6
24616,E7.75,13,0,3
24617,E7.75,13,10,11
24618,E7.75,13,8,9
24619,E7.75,13,4,5
24620,E7.75,13,1,1
24621,E7.75,13,11,0
24623,E7.75,13,6,10
24624,E7.75,13,6,10
24625,E7.75,13,0,3
24626,E7.75,13,1,1
24627,E7.75,13,5,4
24629,E7.75,13,9,7
24630,E7.75,13,3,6
24631,E7.75,13,5,4
24632,E7.75,13,11,0
24633,E7.75,13,3,6
24634,E7.75,13,5,4
24635,E7.75,13,6,10
24636,E7.75,13,9,7
24637,E7.75,13,6,10
24638,E7.75,13,0,3
24639,E7.75,13,2,11
24640,E7.75,13,4,5
24641,E7.75,13,2,11
24642,E7.75,13,10,11
24643,E7.75,13,2,11
24644,E7.75,13,11,0
24645,E7.75,13,6,10
24646,E7.75,13,3,11
24647,E7.75,13,5,4
24648,E7.75,13,7,8
24649,E7.75,13,2,11
24650,E7.75,13,4,5
24652,E7.75,13,7,12
24653,E7.75,13,6,10
24655,E7.75,13,12,1
24657,E7.75,13,1,1
24659,E7.75,13,2,11
24660,E7.75,13,2,11
24661,E7.75,13,0,3
24662,E7.75,13,2,11
24663,E7.75,13,13,2
24664,E7.75,13,2,11
24665,E7.75,13,5,4
24666,E7.75,13,3,6
24667,E7.75,13,5,8
24668,E7.75,13,3,6
24669,E7.75,13,2,11
24670,E7.75,13,3,6
24671,E7.75,13,6,10
24672,E7.75,13,1,1
24673,E7.75,13,8,9
24674,E7.75,13,5,4
24675,E7.75,13,0,3
24676,E7.75,13,6,10
24678,E7.75,13,2,11
24679,E7.75,13,6,10
24680,E7.75,13,5,4
24681,E7.75,13,3,11
24682,E7.75,13,4,5
24683,E7.75,13,4,5
24685,E7.75,13,12,1
24686,E7.75,13,3,6
24687,E7.75,13,10,6
24689,E7.75,13,0,3
24691,E7.75,13,10,11
24692,E7.75,13,3,6
24693,E7.75,13,4,5
24695,E7.75,13,2,11
24696,E7.75,13,1,1
24697,E7.75,13,3,11
24698,E7.75,13,10,11
24699,E7.75,13,3,11
24700,E7.75,13,11,0
24701,E7.75,13,8,9
24703,E7.75,13,10,11
24704,E7.75,13,12,1
24705,E7.75,13,3,6
24708,E7.75,13,4,5
24709,E7.75,13,4,5
24710,E7.75,13,5,4
24711,E7.75,13,8,9
24712,E7.75,13,11,0
24713,E7.75,13,9,7
24714,E7.75,13,10,6
24715,E7.75,13,0,3
24716,E7.75,13,11,0
24717,E7.75,13,9,7
24718,E7.75,13,5,4
24719,E7.75,13,7,12
24720,E7.75,13,6,10
24721,E7.75,13,10,11
24722,E7.75,13,7,12
24723,E7.75,13,6,10
24724,E7.75,13,1,1
24725,E7.75,13,4,5
24726,E7.75,13,5,8
24727,E7.75,13,2,11
24728,E7.75,13,6,10
24730,E7.75,13,3,6
24731,E7.75,13,6,10
24732,E7.75,13,1,1
24733,E7.75,13,0,3
24735,E7.75,13,12,1
24737,E7.75,13,8,9
24738,E7.75,13,10,11
24739,E7.75,13,10,11
24740,E7.75,13,10,11
24741,E7.75,13,4,5
24744,E7.75,13,7,8
24745,E7.75,13,1,1
24746,E7.75,13,1,1
24748,E7.75,13,6,10
24749,E7.75,13,7,8
24750,E7.75,13,4,5
24751,E7.75,13,5,8
24752,E7.75,13,2,11
24753,E7.75,13,11,0
24754,E7.75,13,10,11
24755,E7.75,13,3,6
24756,E7.75,13,2,11
24757,E7.75,13,12,1
24758,E7.75,13,2,11
24760,E7.75,13,0,3
24762,E7.75,13,2,11
24764,E7.75,13,4,5
24765,E7.75,13,7,12
24766,E7.75,13,0,3
24767,E7.75,13,0,3
24768,E7.75,13,7,8
24769,E7.75,13,10,6
24770,E7.75,13,8,7
24773,E7.75,13,4,5
24774,E7.75,13,0,3
24775,E7.75,13,4,5
24776,E7.75,13,2,11
24777,E7.75,13,6,10
24778,E7.75,13,6,10
24779,E7.75,13,4,5
24780,E7.75,13,8,5
24781,E7.75,13,11,0
24782,E7.75,13,6,10
24783,E7.75,13,0,3
24784,E7.75,13,6,10
24785,E7.75,13,9,7
24786,E7.75,13,9,7
24787,E7.75,13,11,0
24788,E7.75,13,4,5
24789,E7.75,13,1,1
24793,E7.75,13,8,9
24795,E7.75,13,3,6
24796,E7.75,13,3,6
24797,E7.75,13,10,11
24798,E7.75,13,6,10
24799,E7.75,13,3,6
24800,E7.75,13,3,6
24801,E7.75,13,4,5
24802,E7.75,13,0,3
24803,E7.75,13,9,7
24804,E7.75,13,2,11
24805,E7.75,13,2,11
24806,E7.75,13,10,6
24807,E7.75,13,5,4
24808,E7.75,13,2,11
24809,E7.75,13,2,11
24810,E7.75,13,6,10
24811,E7.75,13,0,3
24812,E7.75,13,8,9
24815,E7.75,13,10,11
24816,E7.75,13,2,11
24818,E7.75,13,6,10
24821,E7.75,13,4,5
24822,E7.75,13,3,6
24823,E7.75,13,0,3
24825,E7.75,13,8,9
24826,E7.75,13,11,0
24827,E7.75,13,4,5
24828,E7.75,13,0,3
24829,E7.75,13,5,4
24830,E7.75,13,2,11
24831,E7.75,13,2,11
24832,E7.75,13,2,11
24833,E7.75,13,7,8
24834,E7.75,13,0,3
24835,E7.75,13,4,5
24838,E7.75,13,6,10
24839,E7.75,13,2,11
24840,E7.75,13,4,5
24841,E7.75,13,5,4
24842,E7.75,13,6,10
24843,E7.75,13,2,11
24844,E7.75,13,11,0
24845,E7.75,13,5,4
24846,E7.75,13,0,3
24848,E7.75,13,6,10
24852,E7.75,13,2,11
24854,E7.75,13,1,1
24855,E7.75,13,3,6
24856,E7.75,13,9,7
24857,E7.75,13,6,10
24858,E7.75,13,3,11
24859,E7.75,13,8,9
24860,E7.75,13,3,11
24861,E7.75,13,2,11
24862,E7.75,13,3,6
24863,E7.75,13,6,10
24864,E7.75,13,4,5
24865,E7.75,13,9,7
24867,E7.75,13,3,6
24868,E7.75,13,3,6
24869,E7.75,13,5,8
24870,E7.75,13,9,7
24871,E7.75,13,3,6
24872,E7.75,13,3,11
24873,E7.75,13,1,1
24874,E7.75,13,3,6
24875,E7.75,13,1,1
24877,E7.75,13,2,11
24878,E7.75,13,6,10
24880,E7.75,13,4,5
24881,E7.75,13,4,5
24882,E7.75,13,7,12
24884,E7.75,13,9,7
24887,E7.75,13,4,5
24889,E7.75,13,0,3
24892,E7.75,13,10,11
24894,E7.75,13,11,0
24895,E7.75,13,9,7
24896,E7.75,13,2,11
24898,E7.75,13,4,5
24900,E7.75,13,3,6
24901,E7.75,13,4,5
24902,E7.75,13,6,10
24903,E7.75,13,5,4
24904,E7.75,13,7,12
24905,E7.75,13,2,11
24906,E7.75,13,0,3
24907,E7.75,13,0,3
24908,E7.75,13,1,1
24910,E7.75,13,2,11
24911,E7.75,13,4,5
24913,E7.75,13,3,6
24914,E7.75,13,0,3
24915,E7.75,13,13,2
24916,E7.75,13,2,11
24917,E7.75,13,0,3
24918,E7.75,13,10,6
24920,E7.75,13,6,10
24922,E7.75,13,6,10
24923,E7.75,13,5,4
24924,E7.75,13,7,8
24925,E7.75,13,10,11
24926,E7.75,13,1,1
24927,E7.75,13,7,9
24928,E7.75,13,1,1
24929,E7.75,13,6,10
24930,E7.75,13,8,9
24931,E7.75,13,0,3
24932,E7.75,13,3,5
24934,E7.75,13,11,0
24935,E7.75,13,3,11
24936,E7.75,13,2,11
24938,E7.75,13,5,4
24939,E7.75,13,2,11
24940,E7.75,13,4,5
24941,E7.75,13,8,9
24943,E7.75,13,7,12
24944,E7.75,13,6,10
24946,E7.75,13,2,11
24948,E7.75,13,0,3
24949,E7.75,13,10,6
24950,E7.75,13,3,6
24951,E7.75,13,0,3
24952,E7.75,13,2,11
24954,E7.75,13,4,5
24955,E7.75,13,4,5
24956,E7.75,13,4,5
24957,E7.75,13,7,12
24958,E7.75,13,6,10
24959,E7.75,13,6,10
24960,E7.75,13,1,1
24961,E7.75,13,4,5
24962,E7.75,13,0,3
24963,E7.75,13,8,9
24964,E7.75,13,0,3
24966,E7.75,13,6,10
24967,E7.75,13,9,7
24968,E7.75,13,10,11
24969,E7.75,13,9,7
24970,E7.75,13,12,1
24971,E7.75,13,0,3
24972,E7.75,13,8,5
24973,E7.75,13,11,0
24974,E7.75,13,1,1
24975,E7.75,13,2,11
24976,E7.75,13,3,6
24977,E7.75,13,0,3
24978,E7.75,13,10,11
24979,E7.75,13,10,11
24980,E7.75,13,9,7
24983,E7.75,13,0,3
24984,E7.75,13,4,5
24985,E7.75,13,3,6
24986,E7.75,13,11,0
24987,E7.75,13,8,9
24988,E7.75,13,3,11
24989,E7.75,13,4,5
24990,E7.75,13,10,11
24991,E7.75,13,2,11
24992,E7.75,13,2,11
24993,E7.75,13,5,4
24994,E7.75,13,9,7
24995,E7.75,13,6,10
24997,E7.75,13,14,3
24998,E7.75,13,2,11
24999,E7.75,13,0,3
25000,E7.75,13,8,9
25001,E7.75,13,9,7
25002,E7.75,13,5,4
25003,E7.75,13,1,1
25004,E7.75,13,4,5
25005,E7.75,13,7,12
25006,E7.75,13,0,3
25008,E7.75,13,10,11
25009,E7.75,13,2,11
25010,E7.75,13,1,1
25012,E7.75,13,11,0
25013,E7.75,13,3,11
25014,E7.75,13,1,1
25015,E7.75,13,3,6
25016,E7.75,13,3,11
25017,E7.75,13,4,5
25020,E7.75,13,3,11
25022,E7.75,13,2,11
25023,E7.75,13,5,8
25024,E7.75,13,3,11
25025,E7.75,13,6,10
25026,E7.75,13,0,3
25028,E7.75,13,7,12
25029,E7.75,13,3,11
25031,E7.75,13,3,6
25032,E7.75,13,3,6
25033,E7.75,13,13,2
25036,E7.75,13,2,11
25037,E7.75,13,14,3
25038,E7.75,13,2,11
25040,E7.75,13,3,11
25041,E7.75,13,2,11
25042,E7.75,13,12,1
25044,E7.75,13,6,10
25045,E7.75,13,6,10
25046,E7.75,13,9,7
25047,E7.75,13,5,8
25048,E7.75,13,2,11
25049,E7.75,13,7,12
25050,E7.75,13,8,9
25051,E7.75,13,11,0
25052,E7.75,13,11,0
25053,E7.75,13,2,11
25054,E7.75,13,0,3
25055,E7.75,13,0,3
25056,E7.75,13,5,4
25057,E7.75,13,4,5
25058,E7.75,13,12,1
25059,E7.75,13,10,11
25060,E7.75,13,0,3
25061,E7.75,13,2,11
25062,E7.75,13,2,11
25063,E7.75,13,4,5
25065,E7.75,13,4,5
25066,E7.75,13,3,11
25067,E7.75,13,7,8
25068,E7.75,13,6,10
25069,E7.75,13,6,10
25070,E7.75,13,2,11
25071,E7.75,13,13,2
25072,E7.75,13,0,3
25073,E7.75,13,6,7
25074,E7.75,13,1,1
25075,E7.75,13,4,5
25076,E7.75,13,3,6
25077,E7.75,13,5,8
25078,E7.75,13,4,5
25080,E7.75,13,11,0
25081,E7.75,13,3,11
25083,E7.75,13,2,11
25084,E7.75,13,10,6
25085,E7.75,13,9,7
25088,E7.75,13,2,11
25089,E7.75,13,10,11
25090,E7.75,13,5,4
25092,E7.75,13,4,5
25093,E7.75,13,8,9
25094,E7.75,13,0,3
25095,E7.75,13,7,8
25096,E7.75,13,4,5
25097,E7.75,13,8,9
25098,E7.75,13,0,3
25099,E7.75,13,4,5
25100,E7.75,13,8,9
25101,E7.75,13,4,5
25105,E7.75,13,2,11
25106,E7.75,13,6,7
25107,E7.75,13,11,0
25108,E7.75,13,3,11
25109,E7.75,13,4,5
25110,E7.75,13,12,1
25111,E7.75,13,10,11
25114,E7.75,13,8,9
25115,E7.75,13,6,10
25116,E7.75,13,8,9
25117,E7.75,13,2,11
25118,E7.75,13,1,1
25125,E7.75,13,0,3
25127,E7.75,13,3,6
25128,E7.75,13,0,3
25129,E7.75,13,5,4
25132,E7.75,13,2,11
25133,E7.75,13,6,10
25134,E7.75,13,8,9
25135,E7.75,13,8,7
25136,E7.75,13,10,6
25137,E7.75,13,6,10
25139,E7.75,13,6,10
25140,E7.75,13,4,5
25141,E7.75,13,12,1
25142,E7.75,13,1,1
25143,E7.75,13,5,4
25145,E7.75,13,7,8
25146,E7.75,13,2,11
25148,E7.75,13,6,10
25149,E7.75,13,6,10
25150,E7.75,13,7,12
25151,E7.75,13,9,7
25152,E7.75,13,4,5
25154,E7.75,13,9,7
25155,E7.75,13,4,5
25156,E7.75,13,0,3
25157,E7.75,13,2,11
25158,E7.75,13,2,11
25159,E7.75,13,3,6
25160,E7.75,13,0,3
25161,E7.75,13,6,10
25163,E7.75,13,8,9
25164,E7.75,13,0,3
25166,E7.75,13,10,6
25167,E7.75,13,5,4
25168,E7.75,13,3,6
25170,E7.75,13,7,12
25172,E7.75,13,7,12
25173,E7.75,13,0,3
25174,E7.75,13,5,4
25175,E7.75,13,4,5
25176,E7.75,13,3,6
25177,E7.75,13,0,3
25178,E7.75,13,8,9
25179,E7.75,13,3,5
25180,E7.75,13,8,9
25181,E7.75,13,4,5
25182,E7.75,13,4,5
25183,E7.75,13,7,12
25184,E7.75,13,4,5
25185,E7.75,13,3,6
25186,E7.75,13,4,5
25188,E7.75,13,4,5
25189,E7.75,13,0,3
25190,E7.75,13,0,3
25192,E7.75,13,8,9
25193,E7.75,13,3,11
25194,E7.75,13,10,6
25195,E7.75,13,5,8
25196,E7.75,13,5,4
25197,E7.75,13,1,1
25198,E7.75,13,7,12
25199,E7.75,13,11,0
25203,E7.75,13,0,3
25205,E7.75,13,4,5
25206,E7.75,13,5,8
25207,E7.75,13,6,10
25208,E7.75,13,2,11
25209,E7.75,13,3,11
25210,E7.75,13,5,4
25211,E7.75,13,12,1
25212,E7.75,13,7,7
25213,E7.75,13,0,3
25214,E7.75,13,2,11
25216,E7.75,13,8,9
25217,E7.75,13,4,5
25218,E7.75,13,5,4
25219,E7.75,13,6,10
25220,E7.75,13,1,1
25222,E7.75,13,5,4
25223,E7.75,13,8,9
25224,E7.75,13,2,11
25225,E7.75,13,11,0
25226,E7.75,13,0,3
25227,E7.75,13,2,11
25230,E7.75,13,6,10
25231,E7.75,13,9,7
25232,E7.75,13,5,4
25233,E7.75,13,2,11
25234,E7.75,13,0,3
25235,E7.75,13,2,11
25236,E7.75,13,7,12
25237,E7.75,13,2,11
25238,E7.75,13,5,8
25239,E7.75,13,2,11
25240,E7.75,13,11,0
25242,E7.75,13,4,5
25244,E7.75,13,7,9
25246,E7.75,13,3,11
25248,E7.75,13,6,10
25249,E7.75,13,3,6
25252,E7.75,13,9,7
25253,E7.75,13,4,5
25255,E7.75,13,10,6
25256,E7.75,13,6,10
25257,E7.75,13,2,11
25258,E7.75,13,14,3
25260,E7.75,13,4,5
25262,E7.75,13,12,1
25263,E7.75,13,10,6
25264,E7.75,13,11,0
25266,E7.75,13,5,8
25267,E7.75,13,5,4
25268,E7.75,13,0,3
25269,E7.75,13,8,7
25270,E7.75,13,6,10
25273,E7.75,13,3,6
25274,E7.75,13,9,7
25275,E7.75,13,3,11
25276,E7.75,13,4,5
25277,E7.75,13,4,5
25278,E7.75,13,4,10
25279,E7.75,13,3,6
25280,E7.75,13,2,11
25282,E7.75,13,8,9
25286,E7.75,13,7,8
25288,E7.75,13,4,5
25289,E7.75,13,0,3
25290,E7.75,13,2,11
25291,E7.75,13,0,3
25293,E7.75,13,3,11
25296,E7.75,13,7,8
25298,E7.75,13,3,11
25299,E7.75,13,2,11
25300,E7.75,13,2,11
25301,E7.75,13,6,10
25302,E7.75,13,6,10
25303,E7.75,13,3,11
25304,E7.75,13,6,10
25306,E7.75,13,2,11
25307,E7.75,13,2,11
25308,E7.75,13,3,6
25309,E7.75,13,1,1
25310,E7.75,13,5,8
25312,E7.75,13,3,6
25315,E7.75,13,0,3
25316,E7.75,13,2,11
