,Stage,Sample,Louvain,DPC
316,E6.5,1,0,2
317,E6.5,1,4,2
318,E6.5,1,0,5
319,E6.5,1,0,5
321,E6.5,1,0,5
322,E6.5,1,1,2
323,E6.5,1,3,2
324,E6.5,1,1,2
325,E6.5,1,0,5
326,E6.5,1,4,2
327,E6.5,1,5,0
328,E6.5,1,2,3
329,E6.5,1,1,2
330,E6.5,1,5,0
331,E6.5,1,2,3
333,E6.5,1,1,2
334,E6.5,1,0,5
336,E6.5,1,4,2
337,E6.5,1,1,2
338,E6.5,1,5,0
342,E6.5,1,5,0
343,E6.5,1,4,2
344,E6.5,1,1,2
345,E6.5,1,4,2
346,E6.5,1,5,0
347,E6.5,1,5,0
348,E6.5,1,2,3
350,E6.5,1,5,4
351,E6.5,1,3,2
352,E6.5,1,2,3
354,E6.5,1,2,3
356,E6.5,1,0,5
357,E6.5,1,5,0
358,E6.5,1,4,2
359,E6.5,1,1,2
360,E7.5,2,0,3
362,E7.5,2,8,11
363,E7.5,2,6,10
364,E7.5,2,2,2
365,E7.5,2,6,10
366,E7.5,2,3,2
369,E7.5,2,0,3
370,E7.5,2,3,2
371,E7.5,2,1,10
372,E7.5,2,10,2
373,E7.5,2,5,5
374,E7.5,2,5,4
375,E7.5,2,2,2
377,E7.5,2,0,3
379,E7.5,2,3,2
381,E7.5,2,8,7
382,E7.5,2,12,5
387,E7.5,2,0,3
388,E7.5,2,1,10
391,E7.5,2,5,5
393,E7.5,2,13,2
394,E7.5,2,13,2
395,E7.5,2,0,3
398,E7.5,2,10,2
399,E7.5,2,7,6
401,E7.5,2,6,10
402,E7.5,2,7,6
404,E7.5,2,5,4
406,E7.5,2,8,7
407,E7.5,2,1,10
408,E7.5,2,3,2
409,E7.5,2,8,7
412,E7.5,2,13,2
414,E7.5,2,7,6
415,E7.5,2,1,10
416,E7.5,2,0,3
417,E7.5,2,0,3
419,E7.5,2,1,10
420,E7.5,2,0,3
421,E7.5,2,5,4
423,E7.5,2,3,9
424,E7.5,2,13,2
425,E7.5,2,4,4
426,E7.5,2,8,7
428,E7.5,2,1,10
429,E7.5,2,10,2
430,E7.5,2,3,2
431,E7.5,2,7,6
432,E7.5,2,2,2
433,E7.5,2,1,10
434,E7.5,2,0,3
435,E7.5,2,11,3
436,E7.5,2,0,3
437,E7.5,2,5,4
438,E7.5,2,0,3
439,E7.5,2,0,3
440,E7.5,2,0,3
441,E7.5,2,9,8
443,E7.5,2,7,6
448,E7.5,2,12,5
449,E7.5,2,6,10
450,E7.5,2,0,3
453,E7.5,2,6,10
454,E7.5,2,12,5
456,E7.5,2,6,10
458,E7.5,2,9,8
461,E7.5,2,2,9
462,E7.5,2,1,10
464,E7.5,2,1,10
465,E7.5,2,0,3
